  IJet   Q2_min   Q2_max   Pt_min   Pt_max    Sigma stat.(%)  sys.(%)  tot.(%)      had  had.err       EW  JES(up)  JES(dn) EHFS(up) EHFS(dn) LArN(up) LArN(dn) Trig(up) Trig(dn) Lumi(up) Lumi(dn) TrCl(up) TrCl(dn) Mod1(up) Mod1(dn)   Ee1(up)  Ee1(dn) ThE1(up) ThE1(dn) IDe1(up) IDe1(dn) Mod2(up) Mod2(dn)   Ee2(up)  Ee2(dn) ThE2(up) ThE2(dn) IDe2(up) IDe2(dn) Mod3(up) Mod3(dn)   Ee3(up)  Ee3(dn) ThE3(up) ThE3(dn) IDe3(up) IDe3(dn) Mod4(up) Mod4(dn)   Ee4(up)  Ee4(dn) ThE4(up) ThE4(dn) IDe4(up) IDe4(dn) Mod5(up) Mod5(dn)   Ee5(up)  Ee5(dn) ThE5(up) ThE5(dn) IDe5(up) IDe5(dn) Mod6(up) Mod6(dn)   Ee6(up)  Ee6(dn) ThE6(up) ThE6(dn) IDe6(up) IDe6(dn) Bkgd(up) Bkgd(dn)  UnCorrSys
     1     5000    15000        7       11   2.6036     14.7      4.4     15.4     0.91      0.6     1.11     0.76    -0.89     0.32    -0.50     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00    -3.03     3.03     -0.60    -1.60    -0.32     0.59     1.90    -1.90     0.00    -0.00     0.00
     1     5000    15000       11       18   1.7443     16.4      3.5     16.8     0.96      0.6     1.11     1.56    -1.16     0.11     0.03     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.11    -1.11      0.20     1.22    -0.37     0.86     1.83    -1.83     0.00    -0.00     0.00
     1     5000    15000       18       30   0.6711     21.6     13.4     25.4     0.99      1.1     1.11     2.22    -1.96     0.25    -0.35     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00   -12.88    12.88     -0.21    -0.00    -0.53     0.59     1.81    -1.81     0.00    -0.00     0.00
     1     5000    15000       30       50   0.3087     19.7     20.0     28.0     0.98      0.8     1.11     2.94    -2.85     0.05     0.03     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00   -19.54    19.54      0.29    -0.94     0.01     0.07     1.75    -1.75     0.00    -0.00     0.00
     2      150      200        7       11  23.4426      3.6      3.4      4.9     0.94      2.0     1.00     0.10    -0.31     1.26    -1.27     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     2.12    -2.12     -0.48     0.22    -0.42     0.32     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     2      150      200       11       18  13.5527      5.8      4.5      7.4     0.97      1.4     1.00     1.77    -1.87     0.23    -0.31     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     3.48    -3.48     -0.15     0.25    -0.25     0.40     0.50    -0.50     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     2      150      200       18       30   3.5748      6.7      6.1      9.1     0.96      1.0     1.00     4.03    -3.89     0.23    -0.04     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     4.04    -4.04     -0.38     0.21    -0.15     0.06     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     2      150      200       30       50   0.4197     16.4      9.6     19.0     0.96      1.2     1.00     5.38    -4.86     0.06     0.07     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     7.81    -7.81     -0.60    -0.42    -0.15    -0.12     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     2      200      270        7       11  18.1026      4.1      3.3      5.3     0.94      1.7     1.00     0.12    -0.03     1.38    -1.23     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.96    -1.96     -0.38     0.57    -0.37     0.48     0.47    -0.47     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     2      200      270       11       18  12.4284      5.6      3.9      6.8     0.98      1.6     1.00     1.97    -2.39     0.38    -0.44     0.60    -0.60     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     2.15    -2.15     -0.65     0.69    -0.32     0.35     0.48    -0.48     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
