#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061, arXiv:1206.7007"  #


########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.68
PolErrCurrLPol                   0.55   
PolErrCorrTPol                   0.58

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
    Q2         x       y   Sigma         stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
    800  0.032000  0.2461 0.608489       3.87    1.57    4.18    1.38   -0.84    0.00    0.74   -0.67   -0.32    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    670.0    700.3    1.7    0.0    0.0   0.80  0.954   6.2636e-01   72.5   62.6   61.6  2.3 1.5
   1000  0.013000  0.7574 0.834577       5.19    2.02    5.57    1.71    0.28    0.22    1.08    0.05   -0.20    0.06    0.18   -0.00   -1.05    0.59    0.57   -0.00    0.21    0.93    408.0    411.1   18.6    0.0   14.4   1.08  0.947   8.6544e-01   50.6   76.2   88.6  2.3 1.5
   1000  0.020000  0.4923 0.709037       4.48    1.18    4.63    1.10   -0.37    0.05    0.43   -0.20   -0.35    0.02    0.10   -0.00   -0.08    0.20    0.57   -0.00    0.20    0.34    507.0    546.8    4.0    0.0    1.4   0.72  0.920   7.5712e-01   68.3   76.6   77.5  2.3 1.5
   1000  0.032000  0.3077 0.631058       4.66    1.33    4.84    1.20   -0.58    0.00    0.58   -0.34   -0.47    0.00    0.01    0.00   -0.00    0.20    0.57   -0.00    0.20    0.34    541.0    550.4    1.7    0.0    0.0   0.73  0.980   6.3268e-01   74.8   72.4   72.6  2.3 1.5
   1000  0.050000  0.1969 0.499665       4.74    1.61    5.01    1.42   -0.90    0.00    0.77   -0.47   -0.61    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.38    447.0    481.5    1.0    0.0    0.0   0.79  0.926   5.2993e-01   73.9   62.6   61.7  2.3 1.5
   1200  0.013000  0.9088 0.771787       9.00    3.72    9.74    2.85   -0.18    0.22    2.39   -0.20   -0.13    0.04    0.15    0.00   -2.37    0.97    0.57   -0.00    0.30    1.01    152.0    153.9   15.0    0.0   12.2   2.37  0.890   8.5186e-01   27.1   70.9   74.6  2.3 1.5
   1200  0.020000  0.5907 0.763093       5.37    1.25    5.51    1.17    0.10    0.07    0.42    0.09   -0.32    0.02    0.10   -0.00   -0.24    0.39    0.57   -0.00    0.20    0.60    357.0    357.2    4.9    0.0    2.8   0.67  0.986   7.6049e-01   59.2   76.2   75.9  2.3 1.5
   1200  0.032000  0.3692 0.639141       5.03    1.26    5.19    1.13   -0.56    0.01    0.55   -0.38   -0.39    0.00    0.05    0.00   -0.01    0.20    0.57   -0.00    0.20    0.33    398.0    402.8    1.7    0.0    0.1   0.65  0.984   6.3819e-01   71.0   76.3   76.2  2.3 1.5
   1200  0.050000  0.2363 0.524677       5.22    1.36    5.39    1.24   -0.75   -0.00    0.56   -0.34   -0.44   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    369.0    381.0    1.0    0.0    0.0   0.64  0.966   5.3364e-01   74.7   71.0   71.9  2.3 1.5
   1500  0.020000  0.7384 0.724602       6.68    1.87    6.93    1.77   -0.38    0.17    0.60   -0.13   -0.31    0.02    0.16    0.00   -0.47    0.90    0.57   -0.00    0.29    0.95    238.0    247.0    6.9    0.0    3.8   0.88  0.936   7.6063e-01   45.4   78.8   79.7  2.3 1.5
   1500  0.032000  0.4615 0.637848       6.22    1.19    6.33    1.10   -0.23    0.03    0.46   -0.32   -0.31    0.01    0.10   -0.00   -0.04    0.27    0.57   -0.00    0.20    0.35    262.0    268.2    1.7    0.0    0.3   0.74  0.970   6.4564e-01   62.2   76.7   76.2  2.3 1.5
   1500  0.050000  0.2954 0.54633        6.00    1.52    6.19    1.37   -0.90    0.00    0.66   -0.51   -0.42    0.00    0.01    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    280.0    280.5    0.9    0.0    0.0   0.72  0.995   5.3939e-01   72.5   73.4   74.1  2.3 1.5
   2000  0.021880  0.9000 0.752831      10.62    2.83   10.99    2.48    0.48    0.22    1.37   -0.27   -0.20    0.06    0.21   -0.00   -1.31    1.00    0.57   -0.00    0.54    1.01    100.0     93.8    5.8    0.0    4.1   1.79  1.004   7.3644e-01   29.5   73.3   76.0  2.3 1.5
   2000  0.032000  0.6154 0.638001       7.29    1.65    7.47    1.58    0.27    0.10    0.49    0.06   -0.33    0.04    0.11    0.00   -0.33    0.83    0.57   -0.00    0.21    0.69    196.0    201.3    3.9    0.0    2.2   0.92  0.954   6.5673e-01   60.7   77.9   77.1  2.3 1.5
   2000  0.050000  0.3938 0.512553       7.57    1.34    7.69    1.25   -0.49    0.01    0.49   -0.40   -0.28    0.00    0.03    0.00   -0.00    0.27    0.57   -0.00    0.20    0.35    176.0    191.5    0.8    0.0    0.0   0.85  0.915   5.5019e-01   63.6   74.8   74.4  2.3 1.5
   2000  0.080000  0.2461 0.449844       7.37    1.47    7.52    1.38   -0.70    0.00    0.52   -0.32   -0.41    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.48    185.0    188.3    0.5    0.0    0.0   0.86  0.980   4.5099e-01   70.7   70.3   69.9  2.3 1.5
   3000  0.032000  0.9230 0.60063        7.46    2.12    7.76    1.90    0.09    0.12    0.93    0.10   -0.26    0.03    0.13    0.00   -0.88    1.00    0.57   -0.00    0.53    0.96    198.0    213.6    9.4    0.0    6.3   1.02  0.883   6.6832e-01   45.8   84.2   85.3  2.3 1.5
   3000  0.050000  0.5907 0.590745       5.96    1.49    6.14    1.44   -0.28    0.06    0.40   -0.15   -0.35    0.03    0.09   -0.00   -0.08    0.91    0.57   -0.00    0.23    0.50    287.0    281.8    2.6    0.0    0.7   0.69  1.009   5.7500e-01   68.0   83.4   83.5  2.3 1.5
   3000  0.080000  0.3692 0.483805       6.63    1.41    6.78    1.31   -0.40    0.00    0.52   -0.28   -0.44   -0.00    0.01   -0.00   -0.02    0.60    0.57   -0.00    0.20    0.45    229.0    225.0    0.9    0.0    0.1   0.77  1.014   4.6870e-01   61.9   79.0   76.8  2.3 1.5
   3000  0.130000  0.2272 0.348421       8.44    1.88    8.65    1.76   -0.87    0.00    0.66   -0.52   -0.41    0.00    0.00    0.00   -0.00    0.37    0.57   -0.00    0.20    0.97    141.0    153.0    0.3    0.0    0.0   0.93  0.920   3.7219e-01   60.1   68.7   65.6  2.3 1.5
   5000  0.054700  0.9000 0.570019       9.54    2.24    9.80    2.13    0.37    0.10    0.68   -0.18   -0.32    0.03    0.10    0.00   -0.56    1.00    0.57   -0.00    0.78    0.96    119.0    122.4    4.6    0.0    2.3   1.23  0.934   5.9939e-01   47.9   83.1   84.6  2.3 1.5
   5000  0.080000  0.6154 0.444001       7.68    1.67    7.86    1.62   -0.25    0.06    0.42   -0.22   -0.29    0.01    0.08    0.00   -0.19    1.00    0.57   -0.00    0.40    0.57    175.0    203.9    2.7    0.0    1.3   0.83  0.845   5.1612e-01   79.4   84.6   85.3  2.3 1.5
   5000  0.130000  0.3787 0.403545       8.49    1.90    8.70    1.85   -0.43    0.02    0.44    0.25   -0.37    0.00    0.02    0.00   -0.04    0.99    0.57   -0.00    0.20    0.97    140.0    141.1    0.6    0.0    0.2   0.95  0.988   4.0129e-01   79.3   80.1   79.7  2.3 1.5
   5000  0.180000  0.2735 0.351617       9.47    1.95    9.67    1.91   -0.29   -0.00    0.43   -0.30   -0.31   -0.00   -0.00   -0.00   -0.00    0.96    0.57   -0.00    0.20    1.03    112.0    106.2    0.2    0.0    0.0   1.09  1.052   3.2818e-01   72.2   73.3   71.3  2.3 1.5
