#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
#  5.1  0.0056  0.0250   0.6  30.0934      6     0.0036   13.6  9.61665    8.4   15.9   0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5     0.0    0.0     5.2    1.9   -1.5   -0.3   -0.8   -1.1    4.1    1.1    3.1   -1.7   -1.5    1.7
#  5.1  0.0056  0.0350   0.2  30.0934      6     0.0449    5.8  4.10122    7.4    9.4  -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3    -0.3    0.0     0.8    3.2    0.0    0.1   -1.9    2.1    5.4   -0.1    1.3   -1.0   -0.3    1.6
#  5.1  0.0056  0.0350   0.4  30.0934      6     0.0123    8.1  5.72756    7.4   10.9  -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3    -0.3    0.0     1.1    5.1    0.1    0.0    1.4   -0.1    2.5    3.8    0.9   -0.8   -0.3    1.6
#  5.1  0.0056  0.0350   0.6  30.0934      6     0.0051   12.9  9.12168    7.4   14.8  -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3     0.0    0.0    -1.8   -4.2    0.4    0.1    1.2    2.3    4.2   -1.8    1.4   -0.7   -0.3    1.6
#  5.1  0.0056  0.0500   0.2  30.0934      6     0.0473    6.3  4.45477    9.0   11.0   0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2     0.0    0.0     0.3    6.2   -0.4    0.2   -3.6    0.3    4.4    0.9    1.9   -1.3   -0.5    1.6
#  5.1  0.0056  0.0500   0.4  30.0934      6     0.0151    7.5  5.3033     9.0   11.7   0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2     0.0    0.0    -1.5    7.9    0.0    0.1    0.2    1.1    2.6    1.1    1.8   -0.8   -0.4    1.6
#  5.1  0.0056  0.0500   0.6  30.0934      6     0.0054   12.9  9.12168    9.0   15.7   0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2     0.0    0.0    -2.0    4.7   -0.4    0.0   -0.3   -1.7    6.7    1.5    0.3   -0.5   -0.3    1.6
#  5.1  0.0056  0.0750   0.2  30.0934      6     0.0544   11.6  8.20244   10.3   15.5   0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2     0.0    0.0     0.2    6.9   -0.6    0.2   -2.6   -0.3    6.2    1.5    1.3   -1.1   -2.5    1.6
#  5.1  0.0056  0.0750   0.4  30.0934      6     0.0255   10.2  7.21249   10.3   14.5   0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2     0.0    0.0    -0.6    7.7   -0.8    0.2    0.7    0.0    5.0    1.5    2.3   -1.3   -3.1    1.6
#  5.1  0.0056  0.0750   0.6  30.0934      6     0.0094   17.1  12.0915   10.3   20.0   0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2     0.0    0.0    -2.0    9.4   -1.2    0.2   -0.7    0.3    0.6    1.7    1.3   -0.9   -2.2    1.6
#  5.1  0.0178  0.0085   0.2  16.7755      4     0.0345    4.3  3.04056   10.6   11.4  -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1     0.0   -7.0     1.2    3.6   -0.8   -0.2   -1.7    0.5    5.4    0.1    1.7   -1.6   -2.6    2.0
#  5.1  0.0178  0.0085   0.4  16.7755      4     0.0119    5.5  3.88909   10.6   11.9  -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1     0.0   -6.2     1.0    4.6   -0.8   -0.2    1.3    2.2    5.1    0.6    1.1   -1.4   -3.1    2.0
#  5.1  0.0178  0.0085   0.6  16.7755      4     0.0039   11.2  7.9196    10.6   15.4  -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1     0.0   -8.6     1.2    2.9   -0.5   -0.2    0.6   -0.2    4.1    1.6    0.7   -0.6   -1.8    2.0
#  5.1  0.0178  0.0160   0.2  16.7755      4     0.0366    3.6  2.54558    9.2    9.9   0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3     0.0    0.0     0.5    4.8   -0.1    0.2   -2.3    4.9    4.8   -0.3    1.3   -1.2   -1.4    1.6
#  5.1  0.0178  0.0160   0.4  16.7755      4     0.0110    5.1  3.60624    9.2   10.5   0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3     0.5    0.0    -0.4    5.6    0.3    0.0    1.2    0.9    6.6    1.1    1.1   -0.7   -1.0    1.6
#  5.1  0.0178  0.0160   0.6  16.7755      4     0.0032   10.2  7.21249    9.2   13.7   0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3     0.0    0.0    -0.3    6.7   -0.2    0.2    0.1    1.3    2.8    4.6    1.9   -0.7   -1.2    1.6
#  5.1  0.0178  0.0250   0.2  16.7755      4     0.0333    4.7  3.3234     8.9   10.1   0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3     0.0    0.0     0.3    6.0   -0.2    0.0   -2.0    0.7    5.6    0.1    1.6   -1.5   -0.6    1.6
#  5.1  0.0178  0.0250   0.4  16.7755      4     0.0113    6.4  4.52548    8.9   10.9   0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3     0.0    0.0     1.7    5.8   -0.3    0.1    1.4    0.4    5.2    2.4    1.4   -1.4   -0.6    1.6
#  5.1  0.0178  0.0250   0.6  16.7755      4     0.0038   13.3  9.40452    8.9   16.0   0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3     0.0    0.0    -2.4    7.1    1.2    0.0    0.1   -0.1    4.4    0.0   -0.2   -0.6   -0.4    1.6
#  5.1  0.0178  0.0350   0.2  16.7755      4     0.0303    7.1  5.02046    8.7   11.2   0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3     0.0    0.0     0.6    6.7   -0.3    0.1   -1.9    1.4    4.4    0.2    0.9   -1.4   -0.4    1.6
#  5.1  0.0178  0.0350   0.4  16.7755      4     0.0122    9.0  6.36396    8.7   12.5   0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3     0.0    0.0    -0.7    7.8   -1.0    0.1    1.2    0.7    1.7    1.9    0.5   -1.2   -0.4    1.6
#  5.1  0.0178  0.0350   0.6  16.7755      4     0.0039   13.9  9.82878    8.7   16.4   0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3     0.0    0.0     1.6   -0.8    0.0    0.0    0.5   -2.3    7.7    1.9    0.2   -0.8   -0.3    1.6
#  5.1  0.0178  0.0500   0.2  16.7755      4     0.0449    7.1  5.02046    8.8   11.3   0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2     0.0    0.0     0.4    6.0   -1.1    0.1   -2.3    0.8    5.2    1.2    0.2   -1.5   -0.3    1.6
#  5.1  0.0178  0.0500   0.4  16.7755      4     0.0133    9.0  6.36396    8.8   12.6   0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2     0.4    0.0     1.2    3.0   -0.7    0.2    1.2    1.6    5.0    4.9    0.6   -3.1   -0.7    1.6
#  5.1  0.0178  0.0500   0.6  16.7755      4     0.0050   15.2  10.748     8.8   17.6   0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2     0.0    0.0     0.4    8.4    0.2    0.2   -0.5    1.5   -0.3   -1.2    0.2   -0.7   -0.2    1.6
#  5.1  0.0178  0.0750   0.2  16.7755      4     0.0508   12.7  8.98026    8.2   15.1   0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2     0.0    0.0    -0.5    3.4   -0.5    0.2   -2.8    0.7    6.0    0.3   -0.3   -1.3   -2.6    1.6
#  5.1  0.0178  0.0750   0.4  16.7755      4     0.0208   15.2  10.748     8.2   17.3   0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2     0.0    0.0     1.2    6.4   -0.8    0.4    0.6    0.8   -1.2    0.9   -0.7   -1.8   -3.8    1.6
#  5.1  0.0178  0.0750   0.6  16.7755      4     0.0093   20.3  14.3543    8.2   21.9   0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2     0.0    0.0     0.9    2.8   -0.1    0.0   -0.3   -1.2    7.2    0.9    0.2   -0.6   -1.3    1.6
#  5.1  0.0562  0.0025   0.2  9.25458      2     0.0345    3.4  2.40416   10.1   10.7  -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0     0.0   -4.9     0.6    2.8   -1.5    0.1   -1.9   -5.8    3.5   -0.1    1.3   -1.5   -2.9    2.6
#  5.1  0.0562  0.0025   0.4  9.25458      2     0.0102    4.5  3.18198   10.1   11.1  -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0     0.0   -4.7     0.3    2.5   -1.2    0.1    0.8   -4.4    6.0    1.1    1.0   -1.0   -2.7    2.6
#  5.1  0.0562  0.0025   0.6  9.25458      2     0.0030    9.1  6.43467   10.1   13.7  -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0     0.0   -1.8    -1.2    5.8   -1.4    0.3    0.2   -4.9    3.6    2.3    1.6   -0.9   -3.2    2.6
#  5.1  0.0562  0.0085   0.2  9.25458      2     0.0301    3.6  2.54558    9.7   10.3   2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5     0.0    3.2    -0.3    3.6    0.6    0.0   -1.7    6.7    4.1    0.2    0.9   -1.1   -0.8    1.7
#  5.1  0.0562  0.0085   0.4  9.25458      2     0.0097    4.7  3.3234     9.7   10.8   2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5     0.0    1.5    -0.3    6.7    0.3    0.1    0.9    5.5    3.2   -0.2    0.9   -0.9   -0.9    1.7
#  5.1  0.0562  0.0085   0.6  9.25458      2     0.0029    9.9  7.00036    9.7   13.9   2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5     0.0    5.4    -0.9    4.1    0.7   -0.1    0.3    2.9    5.2    2.4    1.1   -0.6   -0.7    1.7
#  5.1  0.0562  0.0160   0.2  9.25458      2     0.0279    4.3  3.04056    8.8    9.8   0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3     0.0    0.0    -0.6    5.4   -1.1    0.1   -1.5    3.5    5.1   -0.2    0.6   -1.5   -1.2    1.6
#  5.1  0.0562  0.0160   0.4  9.25458      2     0.0093    6.1  4.31335    8.8   10.7   0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3     0.0    0.0     1.1    2.4   -0.5   -0.1    2.0    1.6    6.3    3.7    0.8   -1.9   -1.9    1.6
#  5.1  0.0562  0.0160   0.6  9.25458      2     0.0037   13.0  9.19239    8.8   15.7   0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3     0.0    0.0     0.9    1.3   -0.5    0.0    0.7    1.7    8.2   -0.9    0.0   -0.8   -0.9    1.6
#  5.1  0.0562  0.0250   0.2  9.25458      2     0.0267    6.3  4.45477    7.3    9.6   0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3     0.0    0.0    -0.9    2.2    0.6    0.2   -2.1    1.5    6.0   -0.3   -0.3   -1.4   -0.5    1.6
#  5.1  0.0562  0.0250   0.4  9.25458      2     0.0095    8.5  6.01041    7.3   11.2   0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3     0.0    0.0    -3.2    0.2    0.7    0.3    0.8    2.5   -1.9    4.8    0.1   -2.4   -1.0    1.6
#  5.1  0.0562  0.0250   0.6  9.25458      2     0.0028   17.1  12.0915    7.3   18.6   0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3     0.0    0.0     1.6    1.8   -0.1    0.4   -1.2    4.6    3.4    3.0   -0.9   -0.8   -0.4    1.6
#  5.1  0.1780  0.0025   0.2  4.85301      2     0.0383    2.4  1.69706   10.9   11.1  -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2     0.0   -2.6     0.2    5.9   -0.5   -0.1   -2.4   -1.0    7.3    0.1    1.5   -1.7   -1.9    2.8
#  5.1  0.1780  0.0025   0.4  4.85301      2     0.0108    3.2  2.26274   10.9   11.3  -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2     0.0   -1.6     0.0    6.7    0.5    0.2    1.4   -1.6    6.6    1.7    1.6   -1.8   -2.5    2.8
#  5.1  0.1780  0.0025   0.6  4.85301      2     0.0029    7.4  5.23259   10.9   13.1  -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2     0.0   -1.3     0.7    4.2    0.4   -0.2    0.4   -0.7    7.1    5.4    1.7   -1.4   -2.4    2.8
#  5.1  0.1780  0.0085   0.2  4.85301      2     0.0346    3.3  2.33345   10.5   11.0   3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4     0.0    4.4     0.5    2.5    1.9    0.2   -1.2    8.2    2.7   -0.2    0.3   -0.8    0.0    2.2
#  5.1  0.1780  0.0085   0.4  4.85301      2     0.0104    4.4  3.11127   10.5   11.4   3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4     0.0    5.3     0.5    3.0    1.2    0.3    0.5    6.8    4.4    0.7    0.2   -0.7    0.0    2.2
#  5.1  0.1780  0.0085   0.6  4.85301      2     0.0037    9.1  6.43467   10.5   13.9   3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4     0.0    5.1     0.9    1.5    2.5    0.0    0.1    7.1    0.5    4.3    0.0   -0.8    0.0    2.2
#  5.1  0.5620  0.0025   0.2  1.99367      1     0.0576    1.9  1.3435    10.5   10.6   5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5     0.0    5.4    -0.8    5.6    0.8    0.0   -1.7    0.8    4.4    0.1    0.9   -0.9   -0.9    4.8
#  5.1  0.5620  0.0025   0.4  1.99367      1     0.0162    2.6  1.83848   10.5   10.8   5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5     0.0    5.0    -1.1    5.6    0.6    0.0    0.8    0.4    4.8    1.2    0.8   -0.8   -1.0    4.8
#  5.1  0.5620  0.0025   0.6  1.99367      1     0.0043    5.7  4.03051   10.5   11.9   5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5     0.0    4.5    -1.4    5.3    0.9    0.3   -0.2    0.4    3.6    4.4    0.5   -0.9   -1.3    4.8
   8.8  0.0018  0.0750   0.2  69.8576      7     0.0924   19.6  13.8593    7.6   21.0  -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5    -0.2    0.0     0.2    1.2   -1.3    0.1   -2.7    0.9    4.7    0.9    0.7   -2.9   -3.2    2.2
   8.8  0.0018  0.0750   0.4  69.8576      7     0.0328   19.4  13.7179    7.6   20.8  -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5     0.1    0.0     0.1    1.9   -2.8   -0.1   -0.7   -0.3    4.1    2.7    1.1   -2.5   -3.3    2.2
   8.8  0.0018  0.0750   0.6  69.8576      7     0.0250   29.5  20.8597    7.6   30.4  -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5     0.0    0.0     4.8   -1.9   -1.6   -0.1   -0.2    2.6   -3.6    0.9   -0.2   -1.1   -1.7    2.2
   8.8  0.0056  0.0250   0.2  39.5301      6     0.0494    7.9  5.58614    8.4   11.6  -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4    -0.3    0.0    -0.1    4.5   -1.4   -0.1   -2.3   -0.7    4.2   -0.6    1.0   -3.5   -2.7    2.1
   8.8  0.0056  0.0250   0.4  39.5301      6     0.0171    9.8  6.92965    8.4   13.0  -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4    -0.1    0.0     1.7   -0.2   -0.3    0.0    0.8   -0.2    7.2    2.2    0.9   -1.8   -1.5    2.1
   8.8  0.0056  0.0250   0.6  39.5301      6     0.0043   19.8  14.0007    8.4   21.5  -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4     0.0    0.0     1.6    0.5   -0.2   -0.1   -0.5    2.9    7.2    0.6    0.5   -1.2   -0.9    2.1
   8.8  0.0056  0.0350   0.2  39.5301      6     0.0575    7.8  5.51543    8.2   11.3   0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5     0.0    0.0    -0.1    3.8   -1.0    0.1   -2.2    1.0    6.0    0.1    1.1   -2.5   -0.5    1.7
   8.8  0.0056  0.0350   0.4  39.5301      6     0.0155   11.5  8.13173    8.2   14.2   0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5    -0.1    0.0     1.0    0.7   -0.8    0.0    0.4    1.5    6.9    2.6    0.6   -2.1   -0.6    1.7
   8.8  0.0056  0.0350   0.6  39.5301      6     0.0068   17.0  12.0208    8.2   18.9   0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5     0.0    0.0     0.7    7.4   -0.8    0.0    0.0    2.0   -1.2    1.7    0.1   -1.1   -0.4    1.7
   8.8  0.0056  0.0500   0.2  39.5301      6     0.0647    7.3  5.16188    7.2   10.2  -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3    -0.1    0.0     0.1    3.3   -0.5    0.1   -1.7    1.4    5.4    1.2    0.8   -1.4   -0.2    1.6
   8.8  0.0056  0.0500   0.4  39.5301      6     0.0192    9.5  6.71751    7.2   11.9  -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3    -0.1    0.0    -2.7    3.0    0.1    0.2    1.0   -1.3    5.0    1.2    0.7   -1.7   -0.4    1.6
   8.8  0.0056  0.0500   0.6  39.5301      6     0.0095   13.2  9.33381    7.2   15.0  -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3     0.0    0.0     0.1    1.9   -0.7    0.0    0.4   -1.3    6.2    1.9    0.1   -1.2   -0.3    1.6
   8.8  0.0056  0.0750   0.2  39.5301      6     0.0784   11.8  8.34386    7.3   13.8   0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2     0.0    0.0    -0.8    3.7   -0.4    0.2   -3.9   -0.4    3.0    0.4    0.6   -1.2   -3.1    1.6
   8.8  0.0056  0.0750   0.4  39.5301      6     0.0260   13.3  9.40452    7.3   15.2   0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2     0.0    0.0    -0.8    2.4   -0.9    0.1    0.3    0.2    5.9    0.9    0.5   -0.9   -2.6    1.6
   8.8  0.0056  0.0750   0.6  39.5301      6     0.0091   21.5  15.2028    7.3   22.7   0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2     0.0    0.0    -2.6    4.8   -2.1    0.1   -0.2   -0.4    0.2    1.6    0.1   -1.3   -3.3    1.6
   8.8  0.0178  0.0085   0.2  22.0359      5     0.0394    6.5  4.59619    8.4   10.6  -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2     0.0   -6.8     0.0    0.8   -0.9   -0.1   -0.9   -1.6    2.2    0.0    0.4   -1.3   -2.7    2.0
   8.8  0.0178  0.0085   0.4  22.0359      5     0.0123    9.0  6.36396    8.4   12.3  -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2     0.0   -6.2    -0.1    2.1   -0.9    0.0    0.7   -1.1    3.0    0.4    0.3   -1.3   -3.1    2.0
   8.8  0.0178  0.0085   0.6  22.0359      5     0.0037   16.8  11.8794    8.4   18.7  -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2     0.0   -6.7     1.0    1.2   -0.9    0.0    0.3   -0.1   -1.3    1.3    0.0   -1.1   -3.5    2.0
   8.8  0.0178  0.0160   0.2  22.0359      5     0.0409    4.7  3.3234     7.9    9.2  -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3    -0.3    0.0     1.2    2.6   -0.2    0.0   -2.0    1.9    6.1    0.1    0.8   -1.9   -1.4    1.6
   8.8  0.0178  0.0160   0.4  22.0359      5     0.0132    6.1  4.31335    7.9   10.0  -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3     0.0    0.0     0.9    2.1   -0.5    0.0    2.3    0.8    6.2    1.9    0.5   -1.7   -1.5    1.6
   8.8  0.0178  0.0160   0.6  22.0359      5     0.0036   13.1  9.2631     7.9   15.3  -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3     0.0    0.0    -0.6    2.2   -0.7   -0.1    0.2    3.9    4.0   -4.5    0.2   -1.0   -1.1    1.6
   8.8  0.0178  0.0250   0.2  22.0359      5     0.0437    5.1  3.60624    7.8    9.3  -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3     0.0    0.0     0.5    2.2   -0.1    0.0   -2.4    2.2    6.3    0.6    0.7   -1.3   -0.7    1.6
   8.8  0.0178  0.0250   0.4  22.0359      5     0.0139    6.9  4.87904    7.8   10.4  -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3    -0.4    0.0     0.1    3.9   -0.3    0.1    2.2    2.7    5.2    0.2    0.2   -1.4   -1.0    1.6
   8.8  0.0178  0.0250   0.6  22.0359      5     0.0036   14.6  10.3238    7.8   16.5  -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3     0.0    0.0     1.3   -2.2    0.3   -0.4    1.4   -5.5   -2.8   -0.1    2.2   -1.8   -1.5    1.6
   8.8  0.0178  0.0350   0.2  22.0359      5     0.0432    6.3  4.45477    7.4    9.7   0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3     0.1    0.0     0.7    1.9   -0.4    0.1   -2.8    1.2    5.8   -0.6    1.3   -1.7   -0.6    1.6
   8.8  0.0178  0.0350   0.4  22.0359      5     0.0128    9.5  6.71751    7.4   12.0   0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3     0.0    0.0    -0.7    2.8   -0.4    0.1    0.4    0.0    5.3    3.6    0.7   -1.2   -0.5    1.6
   8.8  0.0178  0.0350   0.6  22.0359      5     0.0059   14.3  10.1116    7.4   16.1   0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3     0.0    0.0     0.1    2.1    0.7   -0.1    0.9    0.0    5.5    3.9    0.5   -0.7   -0.3    1.6
   8.8  0.0178  0.0500   0.2  22.0359      5     0.0484    7.0  4.94975    6.8    9.8   0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3     0.5    0.0    -0.3    2.5   -1.0    0.1   -2.4    0.2    5.4    0.0    0.7   -1.2   -0.2    1.6
   8.8  0.0178  0.0500   0.4  22.0359      5     0.0192    8.1  5.72756    6.8   10.6   0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3     0.0    0.0     0.7    0.7   -0.3    0.0    0.5    0.9    5.6    3.1    0.4   -0.7   -0.2    1.6
   8.8  0.0178  0.0500   0.6  22.0359      5     0.0057   13.9  9.82878    6.8   15.5   0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3     0.0    0.0     2.4    1.2   -1.3   -0.2    0.5    1.6    5.3    0.5    1.0   -1.7   -0.5    1.6
   8.8  0.0178  0.0750   0.2  22.0359      5     0.0489   13.3  9.40452    7.1   15.1   0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3     0.0    0.0     0.8    1.9   -0.6    0.2   -2.7    1.4    5.1    1.5    0.4   -0.6   -2.3    1.6
   8.8  0.0178  0.0750   0.4  22.0359      5     0.0235   12.4  8.76812    7.1   14.3   0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3     0.0    0.0     1.1    1.7   -1.7    0.2   -0.5    1.5    3.9   -3.5    0.1   -0.9   -3.2    1.6
   8.8  0.0178  0.0750   0.6  22.0359      5     0.0070   21.0  14.8492    7.1   22.2   0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3     0.0    0.0    -0.1    4.7   -1.7    0.1    0.0   -0.2    3.3    1.9    0.0   -0.8   -2.8    1.6
   8.8  0.0562  0.0025   0.2  12.1566      3     0.0418    4.6  3.25269   10.0   11.0  -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4     0.0   -5.5     0.0    0.9   -1.4    0.1   -0.9   -6.0    3.6    0.1    0.3   -1.2   -3.2    2.1
