#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
#   5.1  0.0562  0.0160  0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3  
#   5.1  0.0562  0.0160  0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.1780  0.0025 -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2  
#   5.1  0.1780  0.0025 -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2  
#   5.1  0.1780  0.0025 -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2  
#   5.1  0.1780  0.0085  3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4  
#   5.1  0.1780  0.0085  3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4  
#   5.1  0.1780  0.0085  3.9  0.7  2.5  1.3  0.2  0.1  8.6  2.6  0.4  0.2 -0.6  0.0  1.4  
#   5.1  0.5620  0.0025  5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5  
#   5.1  0.5620  0.0025  5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5  
#   5.1  0.5620  0.0025  5.0 -1.4  6.0  0.7  0.0 -0.5  0.9  4.4  1.3  0.7 -0.8 -0.9  4.5  
#   8.8  0.0018  0.0750 -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5  
#   8.8  0.0018  0.0750 -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5  
#   8.8  0.0018  0.0750 -0.1  1.6  0.9 -1.5  0.0 -3.3  1.0  3.0  3.9  0.6 -2.1 -2.5  1.5  
#   8.8  0.0056  0.0250 -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4  
#   8.8  0.0056  0.0250 -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4  
#   8.8  0.0056  0.0250 -0.2  1.2  3.1 -0.9 -0.1  0.1 -0.3  6.3  1.4  0.9 -2.6 -2.1  1.4  
#   8.8  0.0056  0.0350  0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5  
#   8.8  0.0056  0.0350  0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5  
#   8.8  0.0056  0.0350  0.0  0.3  4.4 -0.8  0.1  0.1  1.6  5.6  2.1  0.8 -2.1 -0.5  0.5  
#   8.8  0.0056  0.0500 -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3  
#   8.8  0.0056  0.0500 -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3  
#   8.8  0.0056  0.0500 -0.1 -0.7  3.2 -0.3  0.1 -0.2  0.8  5.0  3.2  0.6 -1.2 -0.3  0.3  
#   8.8  0.0056  0.0750  0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2  
#   8.8  0.0056  0.0750  0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2  
#   8.8  0.0056  0.0750  0.0 -1.3  2.9 -0.5  0.1 -4.7 -0.2  3.0  1.7  0.3 -0.8 -2.0  0.2  
#   8.8  0.0178  0.0085 -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2  
#   8.8  0.0178  0.0085 -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2  
#   8.8  0.0178  0.0085 -6.6  0.0  1.2 -0.8 -0.1  0.3 -1.9  2.3  0.4  0.3 -1.2 -2.9  1.2  
#   8.8  0.0178  0.0160 -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3  
#   8.8  0.0178  0.0160 -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3  
#   8.8  0.0178  0.0160 -0.2  1.7  2.8 -0.3  0.0  1.0  2.4  6.0  0.2  0.6 -1.6 -1.4  0.3  
#   8.8  0.0178  0.0250 -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3  
#   8.8  0.0178  0.0250 -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3  
#   8.8  0.0178  0.0250 -0.1  0.8  2.7 -0.1  0.0  0.6  2.7  6.1  1.5  0.6 -1.2 -0.8  0.3  
#   8.8  0.0178  0.0350  0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3  
#   8.8  0.0178  0.0350  0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3  
#   8.8  0.0178  0.0350  0.0  0.4  2.4 -0.2  0.1  0.1  0.9  5.7  3.0  0.9 -1.3 -0.5  0.3  
#   8.8  0.0178  0.0500  0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3  
#   8.8  0.0178  0.0500  0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3  
#   8.8  0.0178  0.0500  0.3  0.2  2.0 -0.6  0.1  0.0  0.6  5.3  3.1  0.5 -0.9 -0.2  0.3  
#   8.8  0.0178  0.0750  0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3  
#   8.8  0.0178  0.0750  0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3  
#   8.8  0.0178  0.0750  0.0  1.0  2.3 -0.8  0.1 -4.2  1.3  4.0  0.9  0.2 -0.5 -2.0  0.3  
#   8.8  0.0562  0.0025 -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4  
#   8.8  0.0562  0.0025 -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4  
#   8.8  0.0562  0.0025 -4.8 -0.1  0.9 -1.1  0.1 -0.1 -7.2  2.7  0.9  0.2 -1.0 -3.1  1.4  
#   8.8  0.0562  0.0085  0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5  
#   8.8  0.0562  0.0085  0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5  
#   8.8  0.0562  0.0085  0.6  0.6  2.5 -0.1 -0.1  0.3  5.9  5.2  0.4  0.5 -1.0 -2.1  0.5  
#   8.8  0.0562  0.0160  0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3  
#   8.8  0.0562  0.0160  0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3  
#   8.8  0.0562  0.0160  0.0 -0.8  3.9 -0.2  0.0  0.6  3.5  6.0  1.3  0.7 -1.0 -1.1  0.3  
#   8.8  0.0562  0.0250  0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3  
#   8.8  0.0562  0.0250  0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3  
#   8.8  0.0562  0.0250  0.0 -0.9  5.8 -0.2  0.0  0.8  2.2  5.4  1.6  0.5 -0.5 -0.9  0.3  
#   8.8  0.0562  0.0350  0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3  
#   8.8  0.0562  0.0350  0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3  
#   8.8  0.0562  0.0350  0.0 -0.5  4.9 -0.6  0.1 -0.1 -0.3  5.4  2.6  0.3 -0.4 -0.7  0.3  
#   8.8  0.0562  0.0500  0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3  
#   8.8  0.0562  0.0500  0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3  
#   8.8  0.0562  0.0500  0.0 -0.3  6.5  1.2  0.2 -1.3 -0.3  5.1  2.4  0.0 -0.1 -0.5  0.3  
#   8.8  0.1780  0.0025 -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8  
#   8.8  0.1780  0.0025 -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8  
#   8.8  0.1780  0.0025 -2.8 -0.2  3.6 -0.3 -0.7 -0.6 -4.0  6.1  1.6  0.8 -1.3 -2.7  1.8  
#   8.8  0.1780  0.0085  2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6  
#   8.8  0.1780  0.0085  2.6 -0.2  2.0  1.1  0.1 -0.1  7.5  2.8  0.5  0.2 -0.3 -0.2  0.6  
