#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
0.00056    320  0.5     0.0468102   1.08835    5     
0.00056    1.8  0.8     0.0569588   0.062628   5     
0.00056    3.2  0.8     0.055003    0.0852751  5     
0.00056    5.6  0.8     0.0566794   0.116607   5     
0.00056    10   0.8     0.0531935   0.162246   5     
0.00056    18   0.8     0.0417664   0.227663   5     
0.00056    32   0.8     0.0439165   0.318173   5     
0.00056    56   0.8     0.0382376   0.443419   5     
0.00056    100  0.8     0.0369292   0.632811   5     
0.00056    180  0.8     0.0356074   0.927367   5     
0.00056    320  0.8     0.032387    1.39479    5     
0.00056    560  0.8     0.0322406   2.13389    5     


#$xi 0.001;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.001    1.8   0.0018  0.00494594  0.257342   5     
0.001    1.8   0.0032  0.00547818  0.207412   5     
0.001    3.2   0.0032  0.0261149   0.149604   5     
0.001    1.8   0.0057  0.00574384  0.191317   5     
0.001    3.2   0.0057  0.0218469   0.137161   5     
0.001    5.6   0.0057  0.038706    0.153769   5     
0.001    1.8   0.01    0.0060118   0.183026   5     
0.001    3.2   0.01    0.0203529   0.135771   5     
0.001    5.6   0.01    0.0363951   0.145195   5     
0.001    10    0.01    0.0518031   0.181552   5     
0.001    1.8   0.018   0.00607924  0.174925   5     
0.001    3.2   0.018   0.0175179   0.13899    5     
0.001    5.6   0.018   0.0318524   0.146429   5     
0.001    10    0.018   0.0436073   0.173699   5     
0.001    18    0.018   0.0573962   0.230596   5     
0.001    1.8   0.032   0.00658587  0.164576   5     
0.001    3.2   0.032   0.0184826   0.14326    5     
0.001    5.6   0.032   0.0271296   0.152157   5     
0.001    10    0.032   0.0382135   0.176888   5     
0.001    18    0.032   0.0476171   0.223049   5     
0.001    32    0.032   0.0607      0.30635    5     
0.001    1.8   0.057   0.00935798  0.15054    5     
0.001    3.2   0.057   0.0165544   0.144734   5     
0.001    5.6   0.057   0.0263995   0.158315   5     
0.001    10    0.057   0.0339968   0.1843     5     
0.001    18    0.057   0.0392669   0.227412   5     
0.001    32    0.057   0.0541636   0.297656   5     
0.001    56    0.057   0.0554784   0.416709   5     
0.001    1.8   0.1     0.0108482   0.133594   5     
0.001    3.2   0.1     0.0163019   0.140487   5     
0.001    5.6   0.1     0.0235617   0.159492   5     
0.001    10    0.1     0.02932     0.189363   5     
0.001    18    0.1     0.0380976   0.234218   5     
0.001    32    0.1     0.0442606   0.300713   5     
0.001    56    0.1     0.0501843   0.403445   5     
0.001    100   0.1     0.0522751   0.584063   5     
0.001    1.8   0.2     0.0153463   0.0829304  5     
0.001    3.2   0.2     0.0211465   0.0958848  5     
0.001    5.6   0.2     0.0259157   0.114144   5     
0.001    10    0.2     0.0298867   0.14031    5     
0.001    18    0.2     0.0350945   0.1772     5     
0.001    32    0.2     0.0385096   0.228309   5     
0.001    56    0.2     0.0431325   0.300596   5     
0.001    100   0.2     0.0415886   0.41543    5     
0.001    180   0.2     0.0442106   0.608568   5     
0.001    320   0.2     0.0464403   0.909998   5     
0.001    1.8   0.5     0.0298351   0.0749619  5     
0.001    3.2   0.5     0.0347569   0.0944136  5     
0.001    5.6   0.5     0.0365672   0.121019   5     
0.001    10    0.5     0.0370024   0.158296   5     
0.001    18    0.5     0.042392    0.208387   5     
0.001    32    0.5     0.0431861   0.27583    5     
0.001    56    0.5     0.0414586   0.367134   5     
0.001    100   0.5     0.042934    0.502912   5     
0.001    180   0.5     0.043457    0.708336   5     
0.001    320   0.5     0.0399679   1.02613    5     
0.001    560   0.5     0.0403466   1.53069    5     
0.001    1.8   0.8     0.0512449   0.0666481  5     
0.001    3.2   0.8     0.0522567   0.0907221  5     
0.001    5.6   0.8     0.0517426   0.123977   5     
0.001    10    0.8     0.0468901   0.172286   5     
0.001    18    0.8     0.0436853   0.241194   5     
