#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
0.018    180    0.2      0.0341271   0.600567  5     
0.018    320    0.2      0.0291734   0.796499  5     
0.018    560    0.2      0.0325118   1.06061   5     
0.018    1000   0.2      0.0320719   1.45342   5     
0.018    1800   0.2      0.0330265   2.06214   5     
0.018    3200   0.2      0.0313552   3.03318   5     
0.018    5600   0.2      0.0325693   4.4794    5     
0.018    18     0.5      0.026601    0.264868  5     
0.018    32     0.5      0.0259455   0.349525  5     
0.018    56     0.5      0.026011    0.460579  5     
0.018    100    0.5      0.0263554   0.617061  5     
0.018    180    0.5      0.0266336   0.832892  5     
0.018    320    0.5      0.0271502   1.12102   5     
0.018    560    0.5      0.025049    1.50376   5     
0.018    1000   0.5      0.0239958   2.05381   5     
0.018    1800   0.5      0.0215872   2.85215   5     
0.018    3200   0.5      0.0224157   4.0146    5     
0.018    5600   0.5      0.0212446   5.77656   5     
0.018    10000  0.5      0.0243389   8.74708   5     
0.018    32     0.8      0.0198289   0.444216  5     
0.018    56     0.8      0.0181058   0.610041  5     
0.018    100    0.8      0.0186685   0.846924  5     
0.018    180    0.8      0.0183915   1.18062   5     
0.018    320    0.8      0.0161909   1.63444   5     
0.018    560    0.8      0.0153383   2.24493   5     
0.018    1000   0.8      0.0139323   3.12769   5     
0.018    1800   0.8      0.0138307   4.40448   5     
0.018    3200   0.8      0.0130671   6.22945   5     
0.018    5600   0.8      0.0101828   8.90117   5     
0.018    10000  0.8      0.011736    13.3176   5     
0.018    18000  0.8      0.0109034   20.6619   5     


#$xi 0.032;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
#0.032    1.8    5.7e-005  0.0162434   0.128879   5       # DB: exclude
0.032    1.8    0.0001    0.0180198   0.120502   5     
0.032    3.2    0.0001    0.0515119   0.103828   5     
0.032    1.8    0.00018   0.0153088   0.118964   5     
0.032    3.2    0.00018   0.043389    0.098019   5     
0.032    5.6    0.00018   0.085567    0.107526   5     
0.032    1.8    0.00032   0.0139735   0.121387   5     
0.032    3.2    0.00032   0.0420461   0.0978703  5     
0.032    5.6    0.00032   0.075152    0.102824   5     
0.032    10     0.00032   0.112025    0.124964   5     
0.032    1.8    0.00057   0.0141307   0.125932   5     
0.032    3.2    0.00057   0.0354847   0.101066   5     
0.032    5.6    0.00057   0.0623978   0.103704   5     
0.032    10     0.00057   0.0935922   0.120398   5     
0.032    18     0.00057   0.126844    0.155511   5     
0.032    1.8    0.001     0.0104777   0.131396   5     
0.032    3.2    0.001     0.0284876   0.106208   5     
0.032    5.6    0.001     0.0514151   0.108024   5     
0.032    10     0.001     0.0846657   0.122251   5     
0.032    18     0.001     0.105824    0.150778   5     
0.032    32     0.001     0.134733    0.20118    5     
0.032    1.8    0.0018    0.00985596  0.13744    5     
0.032    3.2    0.0018    0.02576     0.11304    5     
0.032    5.6    0.0018    0.0456163   0.115003   5     
0.032    10     0.0018    0.06822     0.128623   5     
0.032    18     0.0018    0.0977129   0.154207   5     
0.032    32     0.0018    0.112014    0.19626    5     
0.032    56     0.0018    0.121446    0.266592   5     
0.032    1.8    0.0032    0.00927179  0.142975   5     
0.032    3.2    0.0032    0.0226297   0.120731   5     
0.032    5.6    0.0032    0.0400077   0.123653   5     
0.032    10     0.0032    0.0561027   0.137964   5     
0.032    18     0.0032    0.0814286   0.163292   5     
0.032    32     0.0032    0.0961931   0.202244   5     
0.032    56     0.0032    0.105456    0.26272    5     
0.032    100    0.0032    0.12163     0.368084   5     
0.032    1.8    0.0057    0.00834883  0.147391   5     
0.032    3.2    0.0057    0.019552    0.129082   5     
0.032    5.6    0.0057    0.0328124   0.133769   5     
0.032    10     0.0057    0.0458002   0.149758   5     
0.032    18     0.0057    0.0607514   0.176564   5     
0.032    32     0.0057    0.0804002   0.215874   5     
0.032    56     0.0057    0.0886427   0.273121   5     
0.032    100    0.0057    0.10176     0.365474   5     
0.032    180    0.0057    0.113464    0.522567   5     
0.032    1.8    0.01      0.00834372  0.149797   5     
0.032    3.2    0.01      0.0175615   0.137273   5     
0.032    5.6    0.01      0.0273793   0.144663   5     
0.032    10     0.01      0.0406823   0.163181   5     
0.032    18     0.01      0.052092    0.192704   5     
0.032    32     0.01      0.0625202   0.234637   5     
0.032    56     0.01      0.0740236   0.293244   5     
0.032    100    0.01      0.0813635   0.38212    5     
0.032    180    0.01      0.098548    0.522187   5     
0.032    320    0.01      0.100231    0.750774   5     
0.032    1.8    0.018     0.00754165  0.14947    5     
0.032    3.2    0.018     0.0147359   0.145069   5     
0.032    5.6    0.018     0.0232304   0.156449   5     
0.032    10     0.018     0.0299221   0.178686   5     
0.032    18     0.018     0.0429009   0.212376   5     
0.032    32     0.018     0.0473769   0.258945   5     
0.032    56     0.018     0.0528345   0.322269   5     
0.032    100    0.018     0.0605478   0.414434   5     
0.032    180    0.018     0.0727109   0.550542   5     
0.032    320    0.018     0.0763308   0.75617    5     
0.032    560    0.018     0.0790228   1.08406    5     
0.032    1.8    0.032     0.00857638  0.14579    5     
0.032    3.2    0.032     0.0129772   0.150743   5     
0.032    5.6    0.032     0.0191507   0.167235   5     
0.032    10     0.032     0.0274312   0.194256   5     
0.032    18     0.032     0.0342665   0.233214   5     
0.032    32     0.032     0.037234    0.285999   5     
0.032    56     0.032     0.0485562   0.356486   5     
0.032    100    0.032     0.0532314   0.456656   5     
0.032    180    0.032     0.0591863   0.598889   5     
0.032    320    0.032     0.0588268   0.800858   5     
0.032    560    0.032     0.0665827   1.10044    5     
0.032    1000   0.032     0.0654854   1.60922    5     
0.032    3.2    0.057     0.0144509   0.152599   5     
0.032    5.6    0.057     0.0170034   0.175405   5     
0.032    10     0.057     0.0237294   0.208206   5     
0.032    18     0.057     0.0264805   0.253616   5     
0.032    32     0.057     0.0308216   0.314046   5     
0.032    56     0.057     0.0429095   0.393717   5     
0.032    100    0.057     0.038301    0.505301   5     
0.032    180    0.057     0.0425814   0.660273   5     
0.032    320    0.057     0.0496844   0.872106   5     
0.032    560    0.057     0.0515965   1.16834    5     
0.032    1000   0.057     0.0490027   1.63719    5     
0.032    1800   0.057     0.0521787   2.42276    5     
0.032    5.6    0.1       0.0182471   0.177925   5     
0.032    10     0.1       0.0210434   0.216828   5     
0.032    18     0.1       0.0235219   0.269386   5     
0.032    32     0.1       0.0307075   0.338123   5     
0.032    56     0.1       0.0301485   0.427844   5     
0.032    100    0.1       0.033192    0.552571   5     
0.032    180    0.1       0.0364109   0.723671   5     
0.032    320    0.1       0.0382205   0.952864   5     
0.032    560    0.1       0.0380548   1.26243    5     
0.032    1000   0.1       0.0387457   1.72564    5     
0.032    1800   0.1       0.0397144   2.4517     5     
0.032    3200   0.1       0.042843    3.62142    5     
0.032    18     0.2       0.0206638   0.210297   5     
0.032    32     0.2       0.0255508   0.269675   5     
0.032    56     0.2       0.031063    0.346638   5     
0.032    100    0.2       0.026542    0.453238   5     
0.032    180    0.2       0.0258257   0.598889   5     
0.032    320    0.2       0.0291944   0.791889   5     
0.032    560    0.2       0.0318143   1.04706    5     
0.032    1000   0.2       0.0289067   1.41425    5     
0.032    1800   0.2       0.0302784   1.95339    5     
0.032    3200   0.2       0.0298453   2.75858    5     
0.032    5600   0.2       0.0358524   4.0175     5     
0.032    10000  0.2       0.0306357   6.00695    5     
0.032    32     0.5       0.0245666   0.355145   5     
0.032    56     0.5       0.024725    0.468947   5     
0.032    100    0.5       0.025374    0.628991   5     
0.032    180    0.5       0.0236049   0.849268   5     
0.032    320    0.5       0.0241164   1.14214    5     
0.032    560    0.5       0.0224981   1.5283     5     
0.032    1000   0.5       0.0236985   2.07589    5     
0.032    1800   0.5       0.0237913   2.85196    5     
0.032    3200   0.5       0.0232405   3.93822    5     
0.032    5600   0.5       0.022139    5.49432    5     
0.032    10000  0.5       0.0228608   8.01236    5     
0.032    18000  0.5       0.0252318   12.2068    5     
0.032    56     0.8       0.0189112   0.636862   5     
0.032    100    0.8       0.0146165   0.884228   5     
0.032    180    0.8       0.0159944   1.23223    5     
0.032    320    0.8       0.0152887   1.70432    5     
0.032    560    0.8       0.0137558   2.33653    5     
0.032    1000   0.8       0.0124058   3.2433     5     
0.032    1800   0.8       0.0128004   4.53561    5     
0.032    3200   0.8       0.0128586   6.33651    5     
0.032    5600   0.8       0.01121     8.86869    5     
0.032    10000  0.8       0.0114259   12.8244    5     
0.032    18000  0.8       0.00797996  19.2906    5     
0.032    32000  0.8       0.00504888  29.635     5     


#$xi 0.056;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.056    1.8    3.2e-005  0.033366    0.100579   5     
0.056    1.8    5.7e-005  0.028756    0.0950609  5     
0.056    3.2    5.7e-005  0.0746889   0.0875915  5     
0.056    1.8    0.0001    0.0274556   0.0943344  5     
0.056    3.2    0.0001    0.0678883   0.0834907  5     
0.056    5.6    0.0001    0.12491     0.0924449  5     
0.056    1.8    0.00018   0.0230265   0.0966435  5     
0.056    3.2    0.00018   0.0558159   0.0835206  5     
0.056    5.6    0.00018   0.0993467   0.0887543  5     
0.056    10     0.00018   0.152688    0.108146   5     
0.056    1.8    0.00032   0.0173624   0.100695   5     
0.056    3.2    0.00032   0.0474138   0.0863678  5     
0.056    5.6    0.00032   0.0837018   0.0896391  5     
0.056    10     0.00032   0.12488     0.104652   5     
0.056    18     0.00032   0.172805    0.135224   5     
0.056    1.8    0.00057   0.0169672   0.105797   5     
0.056    3.2    0.00057   0.0418104   0.0910254  5     
0.056    5.6    0.00057   0.065252    0.0935679  5     
0.056    10     0.00057   0.1085      0.10644    5     
0.056    18     0.00057   0.14387     0.131553   5     
0.056    32     0.00057   0.184745    0.174855   5     
0.056    1.8    0.001     0.0135367   0.111268   5     
0.056    3.2    0.001     0.0378865   0.0967663  5     
0.056    5.6    0.001     0.064374    0.0993993  5     
0.056    10     0.001     0.0895223   0.111768   5     
0.056    18     0.001     0.128001    0.13447    5     
0.056    32     0.001     0.14017     0.171254   5     
0.056    56     0.001     0.178658    0.232034   5     
0.056    1.8    0.0018    0.0138659   0.117056   5     
0.056    3.2    0.0018    0.0369767   0.103694   5     
0.056    5.6    0.0018    0.0550373   0.107088   5     
0.056    10     0.0018    0.0745668   0.120037   5     
0.056    18     0.0018    0.0883101   0.142477   5     
0.056    32     0.0018    0.129746    0.176465   5     
0.056    56     0.0018    0.148007    0.228923   5     
0.056    100    0.0018    0.157253    0.319532   5     
0.056    1.8    0.0032    0.013338    0.122284   5     
0.056    3.2    0.0032    0.0277522   0.111104   5     
0.056    5.6    0.0032    0.0389431   0.115884   5     
0.056    10     0.0032    0.0609606   0.130243   5     
0.056    18     0.0032    0.0836376   0.153925   5     
0.056    32     0.0032    0.0978317   0.188165   5     
0.056    56     0.0032    0.115037    0.237778   5     
0.056    100    0.0032    0.131092    0.317644   5     
0.056    180    0.0032    0.144432    0.452582   5     
0.056    1.8    0.0057    0.011138    0.126502   5     
0.056    3.2    0.0057    0.0215107   0.118848   5     
0.056    5.6    0.0057    0.0371134   0.125721   5     
0.056    10     0.0057    0.0519707   0.142253   5     
0.056    18     0.0057    0.0661568   0.168334   5     
0.056    32     0.0057    0.0798223   0.204861   5     
0.056    56     0.0057    0.0918517   0.255589   5     
0.056    100    0.0057    0.10334     0.332283   5     
0.056    180    0.0057    0.127664    0.452815   5     
0.056    320    0.0057    0.13138     0.64812    5     
0.056    1.8    0.01      0.0101188   0.128977   5     
0.056    3.2    0.01      0.0201317   0.126173   5     
0.056    5.6    0.01      0.0322358   0.13595    5     
0.056    10     0.01      0.0434252   0.155366   5     
0.056    18     0.01      0.0562638   0.184761   5     
0.056    32     0.01      0.0696848   0.225048   5     
0.056    56     0.01      0.0796803   0.279566   5     
0.056    100    0.01      0.0867155   0.358791   5     
0.056    180    0.01      0.0905377   0.475816   5     
0.056    320    0.01      0.108625    0.652759   5     
0.056    560    0.01      0.107915    0.933926   5     
0.056    1.8    0.018     0.0115162   0.129179   5     
0.056    3.2    0.018     0.0172975   0.132839   5     
0.056    5.6    0.018     0.0260515   0.146634   5     
0.056    10     0.018     0.0342642   0.170003   5     
0.056    18     0.018     0.0419718   0.203965   5     
0.056    32     0.018     0.0500594   0.249629   5     
0.056    56     0.018     0.0569611   0.310356   5     
0.056    100    0.018     0.070473    0.39645    5     
0.056    180    0.018     0.0730495   0.518523   5     
0.056    320    0.018     0.0756545   0.691785   5     
0.056    560    0.018     0.0898171   0.948656   5     
0.056    1000   0.018     0.0887756   1.38342    5     
0.056    3.2    0.032     0.0164882   0.137368   5     
0.056    5.6    0.032     0.0234147   0.156002   5     
0.056    10     0.032     0.0304907   0.18418    5     
0.056    18     0.032     0.0351122   0.223608   5     
0.056    32     0.032     0.0438532   0.275886   5     
0.056    56     0.032     0.049718    0.344587   5     
0.056    100    0.032     0.0544536   0.440638   5     
0.056    180    0.032     0.0580749   0.573761   5     
0.056    320    0.032     0.0589399   0.755537   5     
0.056    560    0.032     0.0671268   1.00964    5     
0.056    1000   0.032     0.07384     1.4118     5     
0.056    1800   0.032     0.0712502   2.08419    5     
0.056    5.6    0.057     0.0211061   0.16274    5     
0.056    10     0.057     0.0267186   0.196405   5     
0.056    18     0.057     0.0312394   0.242182   5     
0.056    32     0.057     0.035402    0.302172   5     
0.056    56     0.057     0.0386386   0.380363   5     
0.056    100    0.057     0.0417871   0.488772   5     
0.056    180    0.057     0.041762    0.637245   5     
0.056    320    0.057     0.0454296   0.83563    5     
0.056    560    0.057     0.0533918   1.10301    5     
0.056    1000   0.057     0.051735    1.50235    5     
0.056    1800   0.057     0.0579657   2.12734    5     
0.056    3200   0.057     0.0607764   3.13219    5     
0.056    10     0.1       0.0245338   0.20384    5     
0.056    18     0.1       0.0288816   0.256237   5     
0.056    32     0.1       0.0303026   0.324227   5     
0.056    56     0.1       0.0350509   0.412329   5     
0.056    100    0.1       0.0327132   0.534059   5     
0.056    180    0.1       0.0379044   0.699766   5     
0.056    320    0.1       0.0412411   0.918902   5     
0.056    560    0.1       0.0462333   1.20857    5     
0.056    1000   0.1       0.0408297   1.6265     5     
0.056    1800   0.1       0.0431966   2.24459    5     
0.056    3200   0.1       0.0484291   3.17957    5     
0.056    5600   0.1       0.0394649   4.65421    5     
0.056    32     0.2       0.0285399   0.258979   5     
0.056    56     0.2       0.0307811   0.334518   5     
0.056    100    0.2       0.0288427   0.438875   5     
0.056    180    0.2       0.0297204   0.580978   5     
0.056    320    0.2       0.0318444   0.768178   5     
0.056    560    0.2       0.0306525   1.01312    5     
0.056    1000   0.2       0.0317443   1.35909    5     
0.056    1800   0.2       0.03579     1.85077    5     
0.056    3200   0.2       0.0352701   2.54801    5     
0.056    5600   0.2       0.0346613   3.57345    5     
0.056    10000  0.2       0.0349056   5.28522    5     
0.056    18000  0.2       0.0329585   7.90674    5     
0.056    56     0.5       0.0247185   0.465865   5     
0.056    100    0.5       0.0238836   0.626223   5     
0.056    180    0.5       0.0234726   0.846785   5     
0.056    320    0.5       0.0245793   1.13954    5     
0.056    560    0.5       0.0248892   1.52411    5     
0.056    1000   0.5       0.0249659   2.06557    5     
0.056    1800   0.5       0.0217821   2.82292    5     
0.056    3200   0.5       0.0202831   3.8588     5     
0.056    5600   0.5       0.0218833   5.28828    5     
0.056    10000  0.5       0.0234914   7.47746    5     
0.056    18000  0.5       0.0215158   10.9869    5     
0.056    32000  0.5       0.025976    16.6078    5     
0.056    100    0.8       0.0159904   0.912402   5     
0.056    180    0.8       0.0156922   1.27181    5     
0.056    320    0.8       0.0130684   1.75881    5     
0.056    560    0.8       0.0121675   2.40952    5     
0.056    1000   0.8       0.0108281   3.33879    5     
0.056    1800   0.8       0.00980357  4.65257    5     
0.056    3200   0.8       0.0107356   6.45732    5     
0.056    5600   0.8       0.0101871   8.93459    5     
0.056    10000  0.8       0.0103142   12.6541    5     
0.056    18000  0.8       0.00910446  18.4018    5     
0.056    32000  0.8       0.00549354  27.4676    5     


#$xi 0.1;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.1    1.8    1.8e-005  0.0515866   0.0762131  5     
0.1    1.8    3.2e-005  0.0488733   0.0727017  5     
0.1    3.2    3.2e-005  0.110928    0.0705118  5     
0.1    1.8    5.7e-005  0.0446858   0.0724461  5     
0.1    3.2    5.7e-005  0.102476    0.0677139  5     
0.1    5.6    5.7e-005  0.156894    0.0753607  5     
0.1    1.8    0.0001    0.0371214   0.0743649  5     
0.1    3.2    0.0001    0.0822881   0.0679899  5     
0.1    5.6    0.0001    0.129812    0.0730048  5     
0.1    10     0.0001    0.23182     0.0891087  5     
0.1    1.8    0.00018   0.0314682   0.0777958  5     
0.1    3.2    0.00018   0.0762362   0.0705189  5     
0.1    5.6    0.00018   0.128633    0.073965   5     
0.1    10     0.00018   0.188734    0.086739   5     
0.1    18     0.00018   0.249746    0.111905   5     
0.1    1.8    0.00032   0.0279735   0.0820506  5     
0.1    3.2    0.00032   0.0629662   0.0744699  5     
0.1    5.6    0.00032   0.104773    0.0773615  5     
0.1    10     0.00032   0.152102    0.0884823  5     
0.1    18     0.00032   0.210203    0.109593   5     
0.1    32     0.00032   0.284491    0.145004   5     
0.1    1.8    0.00057   0.0255538   0.0868678  5     
0.1    3.2    0.00057   0.0571047   0.0794765  5     
0.1    5.6    0.00057   0.0861168   0.0824718  5     
0.1    10     0.00057   0.127549    0.0932343  5     
0.1    18     0.00057   0.168482    0.112455   5     
0.1    32     0.00057   0.212598    0.142906   5     
0.1    56     0.00057   0.256273    0.192324   5     
0.1    1.8    0.001     0.0217294   0.091815   5     
0.1    3.2    0.001     0.0468      0.0851103  5     
0.1    5.6    0.001     0.0767035   0.0887021  5     
0.1    10     0.001     0.104426    0.0999658  5     
0.1    18     0.001     0.150683    0.119054   5     
0.1    32     0.001     0.183374    0.14745    5     
0.1    56     0.001     0.211229    0.190916   5     
0.1    100    0.001     0.265596    0.265095   5     
0.1    1.8    0.0018    0.0189558   0.0969521  5     
0.1    3.2    0.0018    0.0385186   0.0916027  5     
0.1    5.6    0.0018    0.06301     0.0963067  5     
0.1    10     0.0018    0.077973    0.108779   5     
0.1    18     0.0018    0.115565    0.128968   5     
0.1    32     0.0018    0.136747    0.157626   5     
0.1    56     0.0018    0.17291     0.198817   5     
0.1    100    0.0018    0.20652     0.264762   5     
0.1    180    0.0018    0.221503    0.374939   5     
0.1    1.8    0.0032    0.0188987   0.101571   5     
0.1    3.2    0.0032    0.0332891   0.0983344  5     
0.1    5.6    0.0032    0.0518017   0.104653   5     
0.1    10     0.0032    0.0734457   0.118921   5     
0.1    18     0.0032    0.0965142   0.141132   5     
0.1    32     0.0032    0.124886    0.171729   5     
0.1    56     0.0032    0.140955    0.213907   5     
0.1    100    0.0032    0.151829    0.277435   5     
0.1    180    0.0032    0.18887     0.376874   5     
0.1    320    0.0032    0.197157    0.536397   5     
0.1    1.8    0.0057    0.0170758   0.105333   5     
0.1    3.2    0.0057    0.02758     0.105165   5     
0.1    5.6    0.0057    0.0466345   0.113712   5     
0.1    10     0.0057    0.0618349   0.130403   5     
0.1    18     0.0057    0.0789893   0.155485   5     
0.1    32     0.0057    0.0967482   0.189343   5     
0.1    56     0.0057    0.101266    0.234804   5     
0.1    100    0.0057    0.123535    0.300588   5     
0.1    180    0.0057    0.132399    0.397393   5     
0.1    320    0.0057    0.146749    0.54295    5     
0.1    560    0.0057    0.150867    0.771979   5     
0.1    1.8    0.01      0.0162452   0.107645   5     
0.1    3.2    0.01      0.0277713   0.111418   5     
0.1    5.6    0.01      0.0389339   0.122853   5     
0.1    10     0.01      0.0486394   0.142563   5     
0.1    18     0.01      0.0570836   0.171236   5     
0.1    32     0.01      0.0741813   0.2094     5     
0.1    56     0.01      0.0888979   0.259837   5     
0.1    100    0.01      0.090894    0.331129   5     
0.1    180    0.01      0.104002    0.43204    5     
0.1    320    0.01      0.114385    0.575058   5     
0.1    560    0.01      0.124573    0.786663   5     
0.1    1000   0.01      0.135181    1.14235    5     
0.1    3.2    0.018     0.0239078   0.116854   5     
0.1    5.6    0.018     0.0301618   0.132071   5     
0.1    10     0.018     0.0409688   0.155713   5     
0.1    18     0.018     0.0516463   0.189046   5     
0.1    32     0.018     0.0557156   0.232866   5     
0.1    56     0.018     0.067275    0.290154   5     
0.1    100    0.018     0.0763888   0.369991   5     
0.1    180    0.018     0.0858345   0.480377   5     
0.1    320    0.018     0.0909073   0.630794   5     
0.1    560    0.018     0.0915236   0.840552   5     
0.1    1000   0.018     0.105481    1.17147    5     
0.1    1800   0.018     0.0989732   1.72117    5     
0.1    5.6    0.032     0.0286428   0.13978    5     
0.1    10     0.032     0.0358651   0.167963   5     
0.1    18     0.032     0.0426306   0.206639   5     
0.1    32     0.032     0.0498828   0.257055   5     
0.1    56     0.032     0.0561474   0.322485   5     
0.1    100    0.032     0.0623994   0.412975   5     
0.1    180    0.032     0.0598187   0.536574   5     
0.1    320    0.032     0.0732491   0.701372   5     
0.1    560    0.032     0.0754002   0.923023   5     
0.1    1000   0.032     0.0730631   1.25334    5     
0.1    1800   0.032     0.0812908   1.76889    5     
0.1    3200   0.032     0.0843512   2.59376    5     
0.1    10     0.057     0.0334805   0.178069   5     
0.1    18     0.057     0.0325393   0.222634   5     
0.1    32     0.057     0.0421926   0.280395   5     
0.1    56     0.057     0.0439895   0.355025   5     
0.1    100    0.057     0.0470477   0.457814   5     
0.1    180    0.057     0.0536299   0.597441   5     
0.1    320    0.057     0.0564524   0.781556   5     
0.1    560    0.057     0.0604488   1.02424    5     
0.1    1000   0.057     0.0609493   1.3733     5     
0.1    1800   0.057     0.0536355   1.88777    5     
0.1    3200   0.057     0.0608736   2.66271    5     
0.1    5600   0.057     0.0634009   3.87984    5     
0.1    18     0.1       0.0326958   0.234447   5     
0.1    32     0.1       0.0327532   0.299488   5     
0.1    56     0.1       0.0347068   0.383342   5     
0.1    100    0.1       0.0392313   0.498765   5     
0.1    180    0.1       0.0427203   0.65525    5     
0.1    320    0.1       0.0444297   0.860736   5     
0.1    560    0.1       0.0456543   1.12902    5     
0.1    1000   0.1       0.0478104   1.5077     5     
0.1    1800   0.1       0.0510806   2.04682    5     
0.1    3200   0.1       0.0459988   2.81575    5     
0.1    5600   0.1       0.0498031   3.9578     5     
0.1    10000  0.1       0.0511871   5.87391    5     
0.1    56     0.2       0.0326161   0.31129    5     
0.1    100    0.2       0.0334159   0.410288   5     
0.1    180    0.2       0.0369074   0.544912   5     
0.1    320    0.2       0.0330042   0.721779   5     
0.1    560    0.2       0.038347    0.951929   5     
0.1    1000   0.2       0.0373404   1.27362    5     
0.1    1800   0.2       0.0315427   1.722      5     
0.1    3200   0.2       0.0361221   2.33692    5     
0.1    5600   0.2       0.0364471   3.19578    5     
0.1    10000  0.2       0.0368348   4.5438     5     
0.1    18000  0.2       0.0352568   6.76577    5     
0.1    32000  0.2       0.0361525   10.0193    5     
0.1    100    0.5       0.0287488   0.606293   5     
0.1    180    0.5       0.026131    0.821928   5     
0.1    320    0.5       0.0244394   1.10808    5     
0.1    560    0.5       0.0264988   1.48337    5     
0.1    1000   0.5       0.023555    2.00985    5     
0.1    1800   0.5       0.0252424   2.74087    5     
0.1    3200   0.5       0.0218159   3.72733    5     
0.1    5600   0.5       0.0228703   5.05751    5     
0.1    10000  0.5       0.0264797   7.01703    5     
0.1    18000  0.5       0.0174453   9.9813     5     
0.1    32000  0.5       0.020122    14.5595    5     
0.1    56000  0.5       0.0141423   21.7596    5     
0.1    180    0.8       0.0146215   1.29986    5     
0.1    320    0.8       0.0131712   1.7985     5     
0.1    560    0.8       0.0141662   2.46411    5     
0.1    1000   0.8       0.0115974   3.41258    5     
0.1    1800   0.8       0.0107732   4.7476     5     
0.1    3200   0.8       0.0092792   6.56653    5     
0.1    5600   0.8       0.00985259  9.02768    5     
0.1    10000  0.8       0.00826636  12.6317    5     
0.1    18000  0.8       0.00829318  17.9712    5     
0.1    32000  0.8       0.00884278  25.9205    5     


#$xi 0.18;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
0.18    1.8     1e-005    0.0856365   0.0583662  5     
0.18    1.8     1.8e-005  0.0858522   0.0559303  5     
0.18    3.2     1.8e-005  0.1582      0.0560228  5     
0.18    1.8     3.2e-005  0.0700122   0.055888   5     
0.18    3.2     3.2e-005  0.133638    0.0541524  5     
0.18    5.6     3.2e-005  0.271256    0.0604627  5     
0.18    1.8     5.7e-005  0.061466    0.0575375  5     
0.18    3.2     5.7e-005  0.120838    0.0545791  5     
0.18    5.6     5.7e-005  0.219913    0.0589222  5     
0.18    10      5.7e-005  0.316471    0.0718159  5     
0.18    1.8     0.0001    0.0502531   0.0601969  5     
0.18    3.2     0.0001    0.118089    0.0566496  5     
0.18    5.6     0.0001    0.175828    0.0598607  5     
0.18    10      0.0001    0.277043    0.070424   5     
0.18    18      0.0001    0.389352    0.0907012  5     
0.18    1.8     0.00018   0.0494074   0.0637207  5     
0.18    3.2     0.00018   0.0943966   0.0600063  5     
0.18    5.6     0.00018   0.161366    0.0627962  5     
0.18    10      0.00018   0.206551    0.0720807  5     
0.18    18      0.00018   0.29559     0.0893454  5     
0.18    32      0.00018   0.409889    0.117587   5     
