#-*-sh-*-
# 
# H1 HERA-I diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "ddis"  # A unique alpos name 
Description                    	"H1 DDIS NC e-p 98-99"
Reference                       "Eur.Phys.J. C48 (2006) 715-748" 
arXiv                           hep-ex/0606004
Inspire                         718190
Title                           "Measurement and QCD Analysis of the Diffractive Deep-Inelastic Scattering Cross Section at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 4*'Bin','Sigma',14*'Error'
#   ColumnName = 'xp','Q2','beta','mx','reduced x-section','stat','sys','total','unc','lar','ele','theta','noise',xpom','beta','bg','Plug','Q2','spa' 
#   Percent =  14*true

Data {{
"xp"      "Q2"     "beta"           "mx"             "Sigma"          "stat"  "sys"    "tot"  "unc"    "lar" "ele"     thSpac  thLAr   "noise" "xpom"  "Ubeta"   "bg"    "Plug"  "Q2err" "spa"    beta2  tra  TrigSpa TrigLAr
0.0003    8.5 	 	 0.67 	     2.04611       	 0.0570 	 11.7 	 9.5 	 15.0 	 1.6 	 0.2 	 -0.5 	 0.6    0.0   	 6.9 	 -1.6 	 0.8 	 0.0 	 -0.2 	 0.4 	 4.6     0.0    0.0     1.0   0.0
0.0003    12.0 	 	 0.67 	     2.43114       	 0.0670 	 18.1 	 10.0 	 20.7 	 1.6 	 0.2 	 0.3 	 -1.4   0.0   	 8.5 	 -0.8 	 1.2 	 0.0 	 0.0 	 0.6 	 3.6     0.0    0.0     1.0   0.0
0.001     3.5 	 	 0.05 	     8.15475       	 0.0167 	 15.5 	 6.5 	 16.8 	 1.7 	 -0.7 	 1.0 	 -1.6   0.0   	 -2.6 	 -1.0 	 -2.2 	 0.0 	 0.4 	 -0.1 	 0.5     0.0    0.0     1.0   0.0
0.001     3.5 	 	 0.08 	     6.34429       	 0.0189 	 8.2 	 6.9 	 10.7 	 1.7 	 0.5 	 2.5 	 1.8    0.0   	 -5.3 	 -0.9 	 -1.3 	 0.0 	 -0.3 	 0.8 	 -0.8    0.0    0.0     1.0   0.0 
0.001     3.5 	 	 0.13 	     4.83974       	 0.0239 	 6.6 	 6.9 	 9.5 	 1.7 	 0.7 	 0.3 	 2.0    0.0   	 -5.8 	 -1.1 	 -1.2 	 0.0 	 0.4 	 0.6 	 -0.8    0.0    0.0     1.0   0.0 
0.001     3.5 	 	 0.2 	     3.74166       	 0.0239 	 6.2 	 6.9 	 9.3 	 1.7 	 0.5 	 0.7 	 0.7    0.0   	 -6.2 	 -1.2 	 -1.1 	 0.0 	 0.2 	 0.5 	 -0.9    0.0    0.0     1.0   0.0 
0.001     3.5 	 	 0.32 	     2.72718       	 0.0243 	 5.6 	 6.8 	 8.8 	 1.7 	 -0.1 	 -2.1 	 1.7    0.0   	 -5.7 	 -0.9 	 -0.9 	 0.0 	 -0.2 	 0.2 	 0.3     0.0    0.0     1.0   0.0
0.001     3.5 	 	 0.5 	     1.87083       	 0.0281 	 5.5 	 4.5 	 7.1 	 1.7 	 0.2 	 -1.2 	 2.1    0.0   	 2.1 	 -0.2 	 -0.7 	 0.0 	 -0.2 	 0.1 	 0.6     0.0    0.0     1.0   0.0
0.001     3.5 	 	 0.8 	     0.935414      	 0.0456 	 7.4 	 4.9 	 8.9 	 1.7 	 0.3 	 -1.4 	 1.3    0.0   	 3.0 	 1.5 	 0.8 	 -0.2 	 0.1 	 -0.8 	 0.7     0.0    0.0     1.0   0.0
0.001     5.0 	 	 0.08 	     7.58288       	 0.0213 	 13.2 	 6.3 	 14.6 	 1.7 	 0.3 	 4.0 	 -1.4   0.0   	 -2.1 	 -1.1 	 -1.8 	 0.0 	 0.2 	 0.8 	 1.8     0.0    0.0     1.0   0.0
0.001     5.0 	 	 0.13 	     5.78459       	 0.0238 	 8.6 	 7.0 	 11.0 	 1.7 	 1.0 	 1.1 	 1.4    0.0   	 -5.9 	 -0.7 	 -1.3 	 0.0 	 0.5 	 0.8 	 1.5     0.0    0.0     1.0   0.0
0.001     5.0 	 	 0.2 	     4.47214       	 0.0277 	 7.4 	 6.9 	 10.1 	 1.7 	 -0.3 	 -1.3 	 2.7    0.0   	 -5.4 	 -1.0 	 -1.1 	 0.0 	 -0.2 	 0.8 	 -1.0    0.0    0.0     1.0   0.0 
0.001     5.0 	 	 0.32 	     3.2596        	 0.0317 	 6.5 	 6.5 	 9.2 	 1.7 	 0.4 	 -1.2 	 1.7    0.0   	 -5.5 	 -0.8 	 -0.9 	 0.0 	 0.1 	 0.6 	 0.7     0.0    0.0     1.0   0.0
0.001     5.0 	 	 0.5 	     2.23607       	 0.0350 	 6.0 	 3.9 	 7.2 	 1.7 	 0.6 	 -1.1 	 1.5    0.0   	 1.6 	 -0.4 	 -0.5 	 0.0 	 0.0 	 0.7 	 0.5     0.0    0.0     1.0   0.0
0.001     5.0 	 	 0.8 	     1.11803       	 0.0467 	 7.5 	 6.1 	 9.6 	 1.7 	 0.2 	 -2.3 	 2.8    0.0   	 3.7 	 1.2 	 1.0 	 0.0 	 0.3 	 0.5 	 0.7     0.0    0.0     1.0   0.0
0.001     6.5 	 	 0.13 	     6.59545       	 0.0264 	 11.7 	 6.5 	 13.4 	 1.7 	 -0.7 	 1.8 	 0.5    0.0   	 -5.0 	 -0.7 	 -1.1 	 0.0 	 -0.1 	 0.7 	 2.0     0.0    0.0     1.0   0.0
0.001     6.5 	 	 0.2 	     5.09902       	 0.0294 	 9.2 	 7.2 	 11.7 	 1.7 	 0.2 	 -1.7 	 1.5    0.0   	 -6.1 	 -1.1 	 -1.3 	 0.0 	 0.1 	 0.4 	 1.1     0.0    0.0     1.0   0.0
0.001     6.5 	 	 0.32 	     3.71652       	 0.0295 	 10.6 	 6.3 	 12.4 	 1.7 	 0.3 	 0.8 	 1.6    0.0   	 -5.4 	 -0.9 	 -1.0 	 0.0 	 0.3 	 0.3 	 0.9     0.0    0.0     1.0   0.0
0.001     6.5 	 	 0.5 	     2.54951       	 0.0321 	 7.5 	 4.6 	 8.8 	 1.7 	 0.5 	 -1.1 	 1.2    0.0   	 2.9 	 -0.7 	 -0.5 	 0.0 	 0.2 	 0.3 	 0.7     0.0    0.0     1.0   0.0
0.001     6.5 	 	 0.8 	     1.27475       	 0.0461 	 8.7 	 5.3 	 10.2 	 1.7 	 0.8 	 -1.7 	 1.4    0.0   	 3.8 	 0.6 	 0.9 	 0.0 	 -0.2 	 0.3 	 0.9     0.0    0.0     1.0   0.0
0.001     8.5 	 	 0.13 	     7.54219       	 0.0232 	 18.6 	 8.6 	 20.5 	 1.7 	 0.9 	 -3.0 	 2.6    0.0   	 -6.5 	 -0.8 	 -1.6 	 0.0 	 -0.2 	 0.6 	 2.4     0.0    0.0     1.0   0.0
0.001     8.5 	 	 0.2 	     5.83095       	 0.0298 	 9.6 	 5.2 	 10.9 	 1.7 	 -0.6 	 1.2 	 1.0    0.0   	 -4.0 	 -0.6 	 -1.2 	 0.0 	 -0.2 	 0.2 	 -1.3    0.0    0.0     1.0   0.0 
0.001     8.5 	 	 0.32 	     4.25          	 0.0341 	 8.4 	 5.6 	 10.1 	 1.7 	 0.5 	 -1.7 	 2.4    0.0   	 -4.0 	 -0.7 	 -0.9 	 0.0 	 0.3 	 0.2 	 -0.6    0.0    0.0     1.0   0.0 
0.001     8.5 	 	 0.5 	     2.91548       	 0.0372 	 8.8 	 5.1 	 10.2 	 1.7 	 0.3 	 -2.8 	 1.9    0.0   	 -2.4 	 -0.5 	 -0.5 	 0.0 	 0.1 	 0.2 	 0.8     0.0    0.0     1.0   0.0
0.001     8.5 	 	 0.8 	     1.45774       	 0.0457 	 9.1 	 4.8 	 10.2 	 1.7 	 -0.3 	 -1.3 	 2.6    0.0   	 2.4 	 0.9 	 1.0 	 0.0 	 -0.0 	 0.1 	 0.6     0.0    0.0     1.0   0.0
0.001     12.0 	 	 0.2 	     6.9282        	 0.0349 	 13.0 	 6.0 	 14.3 	 1.7 	 1.4 	 -1.7 	 1.1    0.0   	 -2.9 	 -0.5 	 -1.3 	 0.0 	 0.6 	 0.7 	 3.8     0.0    0.0     1.0   0.0
0.001     12.0 	 	 0.32 	     5.04975       	 0.0385 	 9.6 	 5.6 	 11.1 	 1.7 	 0.6 	 -1.7 	 1.2    0.0   	 -3.8 	 -0.8 	 -1.0 	 0.0 	 -0.2 	 0.6 	 -0.3    0.0    0.0     1.0   0.0 
0.001     12.0 	 	 0.5 	     3.4641        	 0.0426 	 9.0 	 5.4 	 10.5 	 1.7 	 0.5 	 -1.0 	 2.9    0.0   	 3.3 	 -0.3 	 -0.4 	 0.0 	 0.2 	 0.5 	 1.2     0.0    0.0     1.0   0.0
0.001     12.0 	 	 0.8 	     1.73205       	 0.0445 	 11.0 	 5.6 	 12.4 	 1.7 	 0.3 	 -2.0 	 -0.7   0.0   	 3.7 	 1.1 	 0.9 	 0.0 	 0.2 	 0.4 	 1.2     0.0    0.0     1.0   0.0
0.001     15.0 	 	 0.2 	     7.74597       	 0.0395 	 11.6 	 6.3 	 13.2 	 1.7 	 0.3 	 4.0 	 -0.9   0.0   	 -3.3 	 -0.3 	 -1.9 	 0.0 	 0.2 	 0.1 	 1.9     0.0    0.0     1.0   0.0
0.001     15.0 	 	 0.32 	     5.64579       	 0.0384 	 5.3 	 4.5 	 7.0 	 1.7 	 0.4 	 0.7 	 0.8    0.0   	 -3.4 	 -0.6 	 -1.0 	 0.0 	 -0.1 	 0.1 	 1.3     0.0    0.0     1.0   0.0
0.001     15.0 	 	 0.5 	     3.87298       	 0.0410 	 4.9 	 5.3 	 7.2 	 1.7 	 0.5 	 -3.1 	 1.7    0.0   	 2.9 	 -0.3 	 -0.5 	 0.0 	 0.0 	 0.0 	 0.5     0.0    0.0     1.0   0.0
0.001     15.0 	 	 0.8 	     1.93649       	 0.0409 	 6.4 	 4.7 	 7.9 	 1.7 	 0.1 	 -2.1 	 1.3    0.0   	 2.6 	 0.8 	 1.0 	 0.0 	 -0.1 	 -0.2 	 0.7     0.0    0.0     1.0   0.0
0.001     20.0 	 	 0.32 	     6.5192        	 0.0379 	 8.0 	 4.9 	 9.4 	 1.7 	 0.4 	 1.1 	 0.5    0.0   	 -2.8 	 -0.4 	 -1.1 	 -0.4 	 -0.1 	 0.4 	 2.7     0.0    0.0     1.0   0.0
0.001     20.0 	 	 0.5 	     4.47214       	 0.0488 	 5.5 	 4.4 	 7.0 	 1.7 	 0.5 	 -2.3 	 0.4    0.0   	 2.3 	 -0.3 	 -0.3 	 0.0 	 0.1 	 0.3 	 1.0     0.0    0.0     1.0   0.0
0.001     20.0 	 	 0.8 	     2.23607       	 0.0431 	 6.9 	 5.8 	 9.0 	 1.7 	 0.3 	 -2.9 	 1.5    0.0   	 3.3 	 0.9 	 1.0 	 0.0 	 0.1 	 0.2 	 1.1     0.0    0.0     1.0   0.0
0.001     25.0 	 	 0.32 	     7.28869       	 0.0505 	 23.9 	 6.9 	 24.8 	 1.7 	 0.5 	 4.6 	 1.9    0.0   	 -1.5 	 -0.6 	 -1.4 	 0.0 	 -0.6 	 0.1 	 3.3     0.0    0.0     1.0   0.0
0.001     25.0 	 	 0.5 	     5             	 0.0562 	 8.4 	 4.6 	 9.6 	 1.7 	 0.5 	 -1.8 	 1.0    0.0   	 0.9 	 0.1 	 -0.4 	 0.0 	 0.2 	 0.1 	 2.8     0.0    0.0     1.0   0.0
0.001     25.0 	 	 0.8 	     2.5           	 0.0460 	 7.8 	 5.9 	 9.8 	 1.7 	 0.8 	 -2.3 	 1.1    0.0   	 3.5 	 0.3 	 1.1 	 -0.3 	 -0.2 	 -0.2 	 1.2     0.0    0.0     1.0   0.0
0.001     35.0 	 	 0.5 	     5.91608       	 0.0534 	 12.4 	 7.1 	 14.3 	 1.7 	 0.6 	 2.2 	 1.0    0.0   	 2.4 	 -0.5 	 -0.5 	 0.0 	 0.7 	 0.5 	 5.3     0.0    0.0     1.0   0.0
0.001     35.0 	 	 0.8 	     2.95804       	 0.0416 	 10.4 	 7.0 	 12.6 	 1.7 	 0.3 	 -4.0 	 1.0    0.0   	 2.9 	 0.8 	 1.0 	 0.0 	 0.0 	 0.2 	 2.1     0.0    0.0     1.0   0.0
0.001     45.0 	 	 0.8 	     3.3541        	 0.0297 	 22.1 	 8.8 	 23.8 	 1.7 	 0.5 	 2.1 	 1.8    0.0   	 3.9 	 1.3 	 0.8 	 0.0 	 0.0 	 0.3 	 4.5     0.0    0.0     1.0   0.0
0.003     3.5 	 	 0.017 	     14.2261       	 0.0134 	 17.2 	 6.8 	 18.5 	 2.1 	 0.5 	 2.9 	 0.7    0.0   	 0.4 	 -0.4 	 -1.3 	 0.0 	 -0.3 	 0.5 	 0.8     0.0    0.0     1.0   0.0
0.003     3.5 	 	 0.027 	     11.2307       	 0.0194 	 8.4 	 4.6 	 9.5 	 2.1 	 0.7 	 1.4 	 1.5    0.0   	 -2.2 	 -0.6 	 -1.2 	 -0.2 	 -0.1 	 0.8 	 0.6     0.0    0.0     1.0   0.0
0.003     3.5 	 	 0.043 	     8.82583       	 0.0172 	 8.1 	 4.0 	 9.0 	 2.1 	 0.1 	 0.6 	 2.8    0.0   	 -0.9 	 -0.2 	 -0.5 	 -0.2 	 0.1 	 0.6 	 0.9     0.0    0.0     1.0   0.0
0.003     3.5 	 	 0.067 	     6.98132       	 0.0172 	 7.4 	 3.7 	 8.3 	 2.1 	 0.3 	 0.7 	 1.2    0.0   	 -1.1 	 -0.9 	 -1.0 	 -0.2 	 -0.3 	 0.5 	 -1.0    0.0    0.0     1.0   0.0 
0.003     3.5 	 	 0.11 	     5.32148       	 0.0181 	 6.9 	 3.6 	 7.8 	 2.1 	 1.0 	 -0.2 	 1.1    0.0   	 -1.7 	 -0.8 	 -0.9 	 -0.2 	 0.2 	 0.2 	 -0.3    0.0    0.0     1.0   0.0 
