#-*-sh-*-
# 
# H1 HERA-I diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "ddis"  # A unique alpos name 
Description                    	"H1 DDIS NC e-p 98-99"
Reference                       "Eur.Phys.J. C48 (2006) 715-748" 
arXiv                           hep-ex/0606004
Inspire                         718190
Title                           "Measurement and QCD Analysis of the Diffractive Deep-Inelastic Scattering Cross Section at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           301.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 4*'Bin','Sigma',14*'Error'
#   ColumnName = 'xp','Q2','beta','mx','reduced x-section','stat','sys','total','unc','lar','ele','theta','noise',xpom','beta','bg','Plug','Q2','spa' 
#   Percent =  14*true

Data {{
"xp"      "Q2"     "beta"           "mx"             "Sigma"          "stat"  "sys"    "tot"  "unc"    "lar" "ele"     thSpac  thLAr   "noise" "xpom"  "Ubeta"   "bg"    "Plug"  "Q2err" "spa" TrigSpa
0.003     25.0 	 	 0.43 	     5.75669       	 0.0354 	 5.8 	 3.7 	 6.8 	 2.1 	 0.8 	 -2.0 	 0.8    0.0   	 1.1 	 -0.3 	 -0.4 	 -0.2 	 0.4 	 -0.0 	 0.3     1.0 
0.003     25.0 	 	 0.67 	     3.50905       	 0.0349 	 6.7 	 3.9 	 7.7 	 2.1 	 0.6 	 -1.8 	 1.2    0.0   	 1.4 	 0.9 	 0.5 	 0.0 	 -0.2 	 0.0 	 0.4     1.0 
0.003     35.0 	 	 0.17 	     13.0722       	 0.0423 	 13.2 	 4.8 	 14.1 	 2.1 	 0.6 	 1.1 	 0.8    0.0   	 -0.9 	 -0.5 	 -1.5 	 -0.7 	 0.2 	 0.7 	 3.1     1.0 
0.003     35.0 	 	 0.27 	     9.72778       	 0.0387 	 6.9 	 3.0 	 7.5 	 2.1 	 0.6 	 -1.1 	 0.2    0.0   	 -0.2 	 -0.4 	 -1.0 	 -0.4 	 -0.3 	 0.4 	 0.7     1.0 
0.003     35.0 	 	 0.43 	     6.81141       	 0.0353 	 6.7 	 3.8 	 7.6 	 2.1 	 0.6 	 -2.3 	 1.0    0.0   	 -0.6 	 -0.2 	 -0.5 	 -0.4 	 0.3 	 0.3 	 0.1     1.0 
0.003     35.0 	 	 0.67 	     4.15196       	 0.0371 	 7.7 	 3.7 	 8.5 	 2.1 	 0.5 	 -1.9 	 0.9    0.0   	 0.9 	 0.9 	 0.5 	 -0.2 	 0.3 	 0.3 	 0.8     1.0 
0.003     45.0 	 	 0.27 	     11.0303       	 0.0326 	 19.7 	 3.9 	 20.1 	 2.1 	 -0.3 	 -0.8 	 0.8    0.0   	 -1.3 	 -0.4 	 -1.2 	 0.0 	 -0.0 	 0.3 	 1.8     1.0 
0.003     45.0 	 	 0.43 	     7.72342       	 0.0365 	 9.1 	 3.9 	 9.9 	 2.1 	 0.7 	 -1.6 	 1.3    0.0   	 0.4 	 0.2 	 -0.4 	 -0.6 	 0.1 	 0.2 	 0.9     1.0 
0.003     45.0 	 	 0.67 	     4.70788       	 0.0383 	 9.5 	 4.7 	 10.6 	 2.1 	 0.6 	 -3.4 	 0.9    0.0   	 1.2 	 0.7 	 0.5 	 -0.3 	 0.2 	 0.0 	 0.7     1.0 
0.003     60.0 	 	 0.43 	     8.91823       	 0.0406 	 14.5 	 5.6 	 15.5 	 2.1 	 1.2 	 -3.8 	 1.0    0.0   	 1.3 	 0.1 	 -0.7 	 0.0 	 -0.6 	 0.5 	 1.6     1.0 
0.003     60.0 	 	 0.67 	     5.4362        	 0.0429 	 10.6 	 4.0 	 11.3 	 2.1 	 0.4 	 -2.2 	 0.6    0.0   	 1.4 	 0.6 	 0.5 	 0.0 	 0.1 	 0.1 	 0.8     1.0 
0.003     90.0 	 	 0.67 	     6.65795       	 0.0366 	 40.9 	 10.0 	 42.1 	 2.1 	 1.0 	 3.8 	 4.8    0.0   	 4.2 	 -0.9 	 0.7 	 0.0 	 0.0 	 -0.4 	 1.3     1.0 
0.01      15.0 	 	 0.02 	     27.1109       	 0.0329 	 14.2 	 6.2 	 15.4 	 3.6 	 1.3 	 -2.0 	 0.4    0.0   	 -1.9 	 -0.4 	 -2.0 	 -0.7 	 -1.8 	 -0.2 	 1.5     1.0 
0.01      15.0 	 	 0.032 	     21.3014       	 0.0306 	 6.0 	 5.3 	 8.0 	 3.6 	 0.3 	 1.7 	 1.0    0.0   	 -0.5 	 -0.1 	 -1.3 	 -1.8 	 0.2 	 0.2 	 1.0     1.0 
0.01      15.0 	 	 0.05 	     16.8819       	 0.0291 	 5.3 	 4.8 	 7.1 	 3.6 	 -0.5 	 -1.3 	 0.7    0.0   	 -0.9 	 -0.2 	 -1.4 	 -1.7 	 0.5 	 0.1 	 -0.7    1.0 
0.01      15.0 	 	 0.08 	     13.1339       	 0.0232 	 6.8 	 4.9 	 8.4 	 3.6 	 0.1 	 0.6 	 0.7    0.0   	 -0.6 	 0.1 	 -1.2 	 -2.6 	 0.7 	 0.1 	 0.3     1.0 
0.01      15.0 	 	 0.13 	     10.0192       	 0.0230 	 5.1 	 5.0 	 7.2 	 3.6 	 0.5 	 -0.4 	 0.9    0.0   	 -1.1 	 -0.1 	 -1.1 	 -2.7 	 0.3 	 0.1 	 0.3     1.0 
0.01      15.0 	 	 0.2 	     7.74597       	 0.0224 	 5.0 	 4.9 	 7.0 	 3.6 	 0.7 	 0.7 	 0.6    0.0   	 -1.0 	 0.5 	 -1.2 	 -2.5 	 0.4 	 0.2 	 0.3     1.0 
0.01      15.0 	 	 0.32 	     5.64579       	 0.0229 	 5.2 	 4.5 	 6.9 	 3.6 	 0.6 	 -1.4 	 -0.6   0.0   	 -0.2 	 0.4 	 -0.8 	 -1.0 	 0.2 	 0.1 	 0.2     1.0 
0.01      20.0 	 	 0.032 	     24.5967       	 0.0337 	 8.8 	 5.7 	 10.5 	 3.6 	 1.2 	 -2.1 	 1.3    0.0   	 -0.9 	 -0.1 	 -1.5 	 -2.1 	 0.9 	 0.4 	 1.3     1.0 
0.01      20.0 	 	 0.05 	     19.4936       	 0.0287 	 6.8 	 5.3 	 8.6 	 3.6 	 0.7 	 -1.1 	 1.1    0.0   	 -0.8 	 0.2 	 -1.4 	 -2.8 	 0.5 	 0.6 	 -0.3    1.0 
0.01      20.0 	 	 0.08 	     15.1658       	 0.0274 	 5.8 	 4.7 	 7.4 	 3.6 	 0.3 	 -1.2 	 1.1    0.0   	 0.2 	 -0.1 	 -1.1 	 -1.5 	 -0.6 	 0.4 	 -0.3    1.0 
0.01      20.0 	 	 0.13 	     11.5692       	 0.0270 	 5.6 	 4.9 	 7.4 	 3.6 	 0.8 	 -0.6 	 0.7    0.0   	 -0.7 	 -0.1 	 -1.0 	 -2.5 	 0.6 	 0.4 	 -0.2    1.0 
0.01      20.0 	 	 0.2 	     8.94427       	 0.0241 	 9.3 	 5.0 	 10.5 	 3.6 	 -0.4 	 -1.2 	 1.5    0.0   	 -0.6 	 -0.1 	 -1.1 	 -2.0 	 0.3 	 0.4 	 -0.7    1.0 
0.01      20.0 	 	 0.32 	     6.5192        	 0.0259 	 5.4 	 4.9 	 7.3 	 3.6 	 0.7 	 1.0 	 0.8    0.0   	 1.2 	 0.5 	 -1.0 	 -2.1 	 0.3 	 0.4 	 0.4     1.0 
0.01      20.0 	 	 0.5 	     4.47214       	 0.0294 	 6.9 	 5.4 	 8.8 	 3.6 	 0.3 	 -2.2 	 1.0    0.0   	 -0.9 	 0.8 	 -0.2 	 -2.1 	 -0.5 	 0.3 	 0.8     1.0 
0.01      25.0 	 	 0.032 	     27.5          	 0.0289 	 20.1 	 6.0 	 20.9 	 3.6 	 -1.1 	 -1.8 	 -0.7   0.0   	 1.1 	 -0.2 	 -2.0 	 -1.8 	 0.5 	 0.2 	 -1.5    1.0 
0.01      25.0 	 	 0.05 	     21.7945       	 0.0335 	 7.5 	 5.2 	 9.1 	 3.6 	 1.1 	 1.4 	 0.6    0.0   	 -0.7 	 0.1 	 -1.4 	 -2.6 	 0.4 	 0.3 	 0.6     1.0 
0.01      25.0 	 	 0.08 	     16.9558       	 0.0315 	 5.9 	 5.2 	 7.9 	 3.6 	 0.5 	 -1.2 	 0.4    0.0   	 -0.2 	 -0.1 	 -1.2 	 -2.1 	 0.3 	 0.2 	 0.3     1.0 
0.01      25.0 	 	 0.13 	     12.9347       	 0.0270 	 6.0 	 4.4 	 7.4 	 3.6 	 0.4 	 -0.8 	 0.7    0.0   	 0.7 	 -0.2 	 -1.0 	 -1.5 	 0.5 	 0.1 	 -0.5    1.0 
0.01      25.0 	 	 0.2 	     10            	 0.0253 	 5.7 	 5.0 	 7.6 	 3.6 	 0.5 	 1.1 	 1.3    0.0   	 -0.3 	 -0.1 	 -1.2 	 -2.3 	 0.4 	 0.2 	 0.9     1.0 
0.01      25.0 	 	 0.32 	     7.28869       	 0.0242 	 5.8 	 5.0 	 7.7 	 3.6 	 1.2 	 -0.9 	 1.2    0.0   	 0.4 	 0.4 	 -1.0 	 -2.1 	 0.7 	 0.2 	 -0.1    1.0 
0.01      25.0 	 	 0.5 	     5             	 0.0289 	 6.2 	 5.2 	 8.1 	 3.6 	 1.1 	 -2.0 	 1.1    0.0   	 1.5 	 0.9 	 -0.2 	 -1.6 	 0.4 	 0.2 	 1.0     1.0 
0.01      35.0 	 	 0.05 	     25.7876       	 0.0299 	 14.1 	 6.1 	 15.4 	 3.6 	 0.9 	 1.3 	 1.6    0.0   	 -0.5 	 0.1 	 -1.7 	 -2.7 	 0.3 	 0.8 	 1.5     1.0 
0.01      35.0 	 	 0.08 	     20.0624       	 0.0324 	 7.1 	 5.1 	 8.7 	 3.6 	 0.5 	 -3.0 	 0.3    0.0   	 0.4 	 -0.2 	 -1.0 	 -0.9 	 0.6 	 0.5 	 0.2     1.0 
0.01      35.0 	 	 0.13 	     15.3046       	 0.0294 	 7.0 	 4.7 	 8.4 	 3.6 	 0.4 	 -1.1 	 0.4    0.0   	 0.4 	 -0.1 	 -1.1 	 -2.3 	 -0.3 	 0.4 	 0.3     1.0 
0.01      35.0 	 	 0.2 	     11.8322       	 0.0302 	 6.7 	 4.8 	 8.2 	 3.6 	 0.1 	 -0.9 	 1.2    0.0   	 0.4 	 -0.1 	 -1.0 	 -1.8 	 0.2 	 0.4 	 -0.6    1.0 
0.01      35.0 	 	 0.32 	     8.62409       	 0.0232 	 6.7 	 6.6 	 9.4 	 3.6 	 0.5 	 -0.5 	 0.8    0.0   	 1.2 	 0.8 	 -1.1 	 -4.9 	 0.6 	 0.7 	 0.7     1.0 
0.01      35.0 	 	 0.5 	     5.91608       	 0.0305 	 6.6 	 4.8 	 8.2 	 3.6 	 0.6 	 -1.5 	 0.9    0.0   	 0.8 	 0.8 	 -0.3 	 -1.2 	 -0.2 	 0.6 	 0.3     1.0 
0.01      35.0 	 	 0.8 	     2.95804       	 0.0362 	 9.2 	 7.0 	 11.6 	 3.6 	 1.0 	 -1.1 	 1.7    0.0   	 2.4 	 2.4 	 1.2 	 -1.9 	 -1.3 	 0.6 	 1.6     1.0 
