# -*-sh-*-
# Atlas inclusive jet cross sections 2010
#
# From "Measurement of inclusive jet and dijet production 
# in pp collisions at sqrt(s)= 7 TeV using the ATLAS detector"
# by the ATLAS Collaboration.
#
# Published: arXiv:1112.6297v2
#

##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "ATLAS inclusive jets @ 7TeV, 2010, R06, 37 pb-1 "
Reference           "Phys.Rev. D86 (2012) 014022 [arXiv:1112.6297]"


##########################################################
#  Theory function settings
#
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# --- TheoryFunction: fastNLO ---
Filename			theoryfiles/fnl1015_I1082936.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################


Data {{
       "ymin"      "ymax"  "pt1"   "pt2"  "YBinSize"       "NPCorr"          "stat"         "Sigma"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_RelSys_31"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "JESPileUp_RelSys_uncorr"  "UnfClosureRelSys_74"  "MatchingRelSys_75"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "CleaningEffRelSys_uncorr"  "YResoRelSys_82"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "atlas_lumi2010"  
         0.0         0.3    400      500        0.6        1.016697        1.598508        1.598306         0.000154         0.000000         0.000000         0.000000         0.000000         0.000000         3.305698         0.000000         0.000000          0.000000          0.000000          0.000000          2.269259          0.000000          0.000000          0.000000          0.000000          0.000000          0.627277          0.000000          0.000000          0.000000          0.000000          0.000000          2.411464          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.962029          0.000000          0.000000          0.000000          0.000000          0.000000          0.818747          0.000000          0.000000          0.000000          0.000000          0.000000          6.780731          0.000000          0.000000          0.000000          0.000000          0.000000           5.615791           0.000000           0.000000           0.000000           0.000000           0.000000           0.696105           0.000000           0.000000           0.000000           0.000000           0.000000           0.000951           0.000000           0.000000           0.000000           0.000000           0.000000           7.883786           0.000000           0.000000           0.000000           0.000000           0.000000                   0.225635               0.319362             0.003113        0.764901        0.000000        0.000000        0.000000        0.000000        0.000000                    0.062296          0.070371            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    500      600        0.6        1.014423        2.975285        0.410006         0.000013         0.000000         0.000000         0.000000         0.000000         0.000000         3.038947         0.000000         0.000000          0.000000          0.000000          0.000000          2.287794          0.000000          0.000000          0.000000          0.000000          0.000000          0.870006          0.000000          0.000000          0.000000          0.000000          0.000000          3.103305          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.748035          0.000000          0.000000          0.000000          0.000000          0.000000          0.511009          0.000000          0.000000          0.000000          0.000000          0.000000          7.148507          0.000000          0.000000          0.000000          0.000000          0.000000           6.226939           0.000000           0.000000           0.000000           0.000000           0.000000           0.717519           0.000000           0.000000           0.000000           0.000000           0.000000           0.000566           0.000000           0.000000           0.000000           0.000000           0.000000           9.371075           0.000000           0.000000           0.000000           0.000000           0.000000                   0.366508               0.300747             0.020053        0.423274        0.000000        0.000000        0.000000        0.000000        0.000000                    0.062296          0.107125            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    600      800        0.6        1.012282        5.259022        0.076103         0.000008         0.000000         0.000000         0.000000         0.000000         0.000000         3.388012         0.000000         0.000000          0.000000          0.000000          0.000000          4.781897          0.000000          0.000000          0.000000          0.000000          0.000000          0.938061          0.000000          0.000000          0.000000          0.000000          0.000000          3.251940          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.561216          0.000000          0.000000          0.000000          0.000000          0.000000          0.367624          0.000000          0.000000          0.000000          0.000000          0.000000          8.480982          0.000000          0.000000          0.000000          0.000000          0.000000           6.477989           0.000000           0.000000           0.000000           0.000000           0.000000           0.988270           0.000000           0.000000           0.000000           0.000000           0.000000           0.000143           0.000000           0.000000           0.000000           0.000000           0.000000          10.511719           0.000000           0.000000           0.000000           0.000000           0.000000                   0.160807               0.195214             0.000532        0.588417        0.000000        0.000000        0.000000        0.000000        0.000000                    0.359830          0.093844            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    800     1000        0.6        1.010567       14.271396        0.011831         0.000025         0.000000         0.000000         0.000000         0.000000         0.000000         3.194762         0.000000         0.000000          0.000000          0.000000          0.000000          6.279059          0.000000          0.000000          0.000000          0.000000          0.000000          0.465531          0.000000          0.000000          0.000000          0.000000          0.000000          2.482116          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.424035          0.000000          0.000000          0.000000          0.000000          0.000000          0.489830          0.000000          0.000000          0.000000          0.000000          0.000000          8.369640          0.000000          0.000000          0.000000          0.000000          0.000000           7.834941           0.000000           0.000000           0.000000           0.000000           0.000000           2.206083           0.000000           0.000000           0.000000           0.000000           0.000000           0.000062           0.000000           0.000000           0.000000           0.000000           0.000000          12.853644           0.000000           0.000000           0.000000           0.000000           0.000000                   0.178210               0.456645             0.003046        0.694930        0.000000        0.000000        0.000000        0.000000        0.000000                    0.359830          0.064143            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3   1000     1200        0.6        1.009483       34.046130        0.001540         0.001087         0.000000         0.000000         0.000000         0.000000         0.000000         2.400827         0.000000         0.000000          0.000000          0.000000          0.000000          6.470407          0.000000          0.000000          0.000000          0.000000          0.000000          0.377105          0.000000          0.000000          0.000000          0.000000          0.000000          2.985031          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.115984          0.000000          0.000000          0.000000          0.000000          0.000000          0.538783          0.000000          0.000000          0.000000          0.000000          0.000000          8.633349          0.000000          0.000000          0.000000          0.000000          0.000000           8.737229           0.000000           0.000000           0.000000           0.000000           0.000000           5.147246           0.000000           0.000000           0.000000           0.000000           0.000000           0.000017           0.000000           0.000000           0.000000           0.000000           0.000000          16.780193           0.000000           0.000000           0.000000           0.000000           0.000000                   0.101902               0.704385             0.005616        1.305651        0.000000        0.000000        0.000000        0.000000        0.000000                    0.359830          0.094058            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3   1200     1500        0.6        1.008580       58.866972        0.000399         0.017730         0.000000         0.000000         0.000000         0.000000         0.000000         2.301474         0.000000         0.000000          0.000000          0.000000          0.000000          7.448103          0.000000          0.000000          0.000000          0.000000          0.000000          2.080919          0.000000          0.000000          0.000000          0.000000          0.000000          5.124611          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.420540          0.000000          0.000000          0.000000          0.000000          0.000000          0.830620          0.000000          0.000000          0.000000          0.000000          0.000000          9.668574          0.000000          0.000000          0.000000          0.000000          0.000000          10.149871           0.000000           0.000000           0.000000           0.000000           0.000000           9.144578           0.000000           0.000000           0.000000           0.000000           0.000000           0.000577           0.000000           0.000000           0.000000           0.000000           0.000000          19.685263           0.000000           0.000000           0.000000           0.000000           0.000000                   0.131055               0.608971             0.034173        2.150368        0.000000        0.000000        0.000000        0.000000        0.000000                    0.359830          0.107733            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  

         0.3         0.8     20       30        1.0        1.602639        0.480795  9950524.924262        11.721330         0.000000         0.000000         0.000000         0.000000         0.000000         9.474078         0.000000         0.000000          0.000000          0.000000          0.000000         13.508291          0.000000          0.000000          0.000000          0.000000          0.000000          8.275281          0.000000          0.000000          0.000000          0.000000          0.000000          4.693023          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.170551          0.000000          0.000000          0.000000          0.000000          0.000000          4.428419          0.000000          0.000000          0.000000          0.000000          0.000000          4.727348          0.000000          0.000000          0.000000          0.000000          0.000000           0.007183           0.000000           0.000000           0.000000           0.000000           0.000000           0.048231           0.000000           0.000000           0.000000           0.000000           0.000000           3.015854           0.000000           0.000000           0.000000           0.000000           0.000000           0.018057           0.000000           0.000000           0.000000           0.000000           0.000000                   0.831116               0.065254             0.944012        2.748264        0.000000        0.000000        0.000000        0.000000        0.000000                    0.437548          0.063697            2.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.3         0.8     30       45        1.0        1.295228        1.030906  1252971.820172         8.564802         0.000000         0.000000         0.000000         0.000000         0.000000         9.878003         0.000000         0.000000          0.000000          0.000000          0.000000         10.388324          0.000000          0.000000          0.000000          0.000000          0.000000          7.906553          0.000000          0.000000          0.000000          0.000000          0.000000          2.951720          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.556160          0.000000          0.000000          0.000000          0.000000          0.000000          3.452592          0.000000          0.000000          0.000000          0.000000          0.000000          4.949335          0.000000          0.000000          0.000000          0.000000          0.000000           0.055995           0.000000           0.000000           0.000000           0.000000           0.000000           0.073569           0.000000           0.000000           0.000000           0.000000           0.000000           3.459710           0.000000           0.000000           0.000000           0.000000           0.000000           0.170407           0.000000           0.000000           0.000000           0.000000           0.000000                   0.607840               0.029511             0.706467        2.830609        0.000000        0.000000        0.000000        0.000000        0.000000                    0.352312          0.123369            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.3         0.8     45       60        1.0        1.173926        2.038311   224799.116495         2.171233         0.000000         0.000000         0.000000         0.000000         0.000000         8.934831         0.000000         0.000000          0.000000          0.000000          0.000000          7.435447          0.000000          0.000000          0.000000          0.000000          0.000000          4.240185          0.000000          0.000000          0.000000          0.000000          0.000000          1.886705          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.387651          0.000000          0.000000          0.000000          0.000000          0.000000          2.064199          0.000000          0.000000          0.000000          0.000000          0.000000          4.691993          0.000000          0.000000          0.000000          0.000000          0.000000           0.225165           0.000000           0.000000           0.000000           0.000000           0.000000           0.424170           0.000000           0.000000           0.000000           0.000000           0.000000           2.878970           0.000000           0.000000           0.000000           0.000000           0.000000           0.430920           0.000000           0.000000           0.000000           0.000000           0.000000                   0.384482               0.098687             0.456482        1.624688        0.000000        0.000000        0.000000        0.000000        0.000000                    0.265921          0.142803            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
